Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,6,M,17
1,2,0,1,M,17
2,1,2,9,M,17
2,2,8,9,H,16
3,1,2,7,M,17
3,2,5,4,M,16
4,1,2,5,M,17
4,2,2,9,M,16
5,1,3,4,M,17
5,2,3,4,M,16
6,1,5,2,M,17
6,2,0,6,M,16
7,1,6,2,M,17
7,2,1,3,H,15
8,1,2,2,M,17
8,2,4,0,M,15
9,1,0,9,M,17
9,2,3,6,M,15
10,1,6,9,M,17
10,2,1,1,H,14
11,1,4,0,M,17
11,2,5,5,M,14
12,1,9,5,M,17
12,2,6,8,M,14
13,1,2,4,M,17
13,2,9,5,M,14
14,1,5,7,M,17
14,2,9,2,H,13
15,1,9,0,M,17
15,2,8,0,M,13
16,1,7,0,M,17
16,2,1,6,H,12
17,1,7,6,M,17
17,2,5,1,M,12
18,1,7,9,M,17
18,2,6,4,M,12
19,1,5,8,M,17
19,2,9,7,M,12
20,1,8,5,H,16
20,2,1,8,M,12
21,1,3,6,M,16
21,2,4,8,M,12
22,1,1,9,M,16
22,2,2,6,M,12
23,1,6,4,M,16
23,2,9,8,M,12
24,1,0,6,M,16
24,2,1,0,M,12
25,1,0,0,H,15
25,2,3,8,M,12
26,1,5,0,M,15
26,2,8,3,M,12
27,1,8,0,M,15
27,2,0,9,M,12
28,1,5,1,H,14
28,2,4,6,M,12
29,1,0,7,M,14
29,2,7,1,H,11
30,1,0,4,M,14
30,2,9,1,H,10
31,1,9,8,M,14
31,2,8,6,M,10
32,1,2,8,M,14
32,2,2,5,M,10
33,1,3,1,M,14
33,2,1,2,H,9
34,1,7,4,M,14
34,2,0,5,M,9
35,1,9,3,M,14
35,2,8,7,M,9
36,1,9,2,M,14
36,2,7,4,M,9
37,1,6,3,M,14
37,2,6,0,M,9
38,1,7,7,M,14
38,2,0,2,M,9
39,1,3,5,M,14
39,2,6,1,M,9
40,1,4,8,M,14
40,2,6,3,M,9
41,1,4,2,M,14
41,2,7,8,M,9
42,1,0,3,M,14
42,2,6,5,M,9
43,1,1,5,M,14
43,2,4,1,M,9
44,1,1,0,H,13
44,2,1,4,H,8
45,1,4,9,M,13
45,2,0,4,M,8
46,1,4,7,M,13
46,2,9,3,H,7
47,1,0,1,M,13
47,2,7,2,H,6
48,1,8,2,M,13
48,2,2,8,M,6
49,1,1,1,M,13
49,2,4,4,M,6
50,1,8,9,M,13
50,2,3,2,M,6
51,1,0,2,M,13
51,2,6,6,M,6
52,1,6,0,M,13
52,2,9,0,M,6
53,1,4,4,M,13
53,2,8,1,M,6
54,1,1,7,M,13
54,2,3,0,M,6
55,1,8,7,H,12
55,2,5,3,M,6
56,1,6,8,M,12
56,2,0,7,M,6
57,1,4,5,M,12
57,2,4,3,M,6
58,1,7,1,M,12
58,2,5,6,M,6
59,1,4,3,M,12
59,2,7,0,M,6
60,1,8,6,H,11
60,2,7,6,M,6
61,1,9,4,M,11
61,2,5,0,M,6
62,1,2,1,M,11
62,2,2,1,M,6
63,1,1,8,M,11
63,2,9,6,M,6
64,1,6,6,H,10
64,2,7,5,M,6
65,1,4,6,M,10
65,2,3,3,M,6
66,1,2,3,M,10
66,2,8,5,M,6
67,1,8,4,H,9
67,2,5,9,H,5
68,1,0,8,M,9
68,2,1,7,M,5
69,1,3,0,H,8
69,2,5,8,M,5
70,1,3,8,M,8
70,2,2,3,M,5
71,1,1,6,M,8
71,2,4,5,M,5
72,1,3,7,M,8
72,2,4,7,M,5
73,1,7,5,H,7
73,2,7,7,M,5
74,1,1,4,M,7
74,2,1,9,M,5
75,1,7,3,M,7
75,2,0,8,M,5
76,1,8,1,M,7
76,2,5,2,M,5
77,1,2,0,H,6
77,2,3,9,M,5
78,1,6,5,H,5
78,2,8,4,M,5
79,1,1,2,M,5
79,2,0,0,M,5
80,1,1,3,M,5
80,2,6,7,M,5
81,1,2,6,M,5
81,2,3,1,M,5
82,1,0,5,M,5
82,2,0,3,M,5
83,1,3,9,M,5
83,2,5,7,M,5
84,1,6,7,H,4
84,2,2,0,M,5
85,1,5,3,M,4
85,2,6,9,H,4
86,1,5,9,M,4
86,2,9,4,M,4
87,1,9,7,M,4
87,2,2,7,M,4
88,1,7,8,M,4
88,2,4,2,M,4
89,1,3,2,M,4
89,2,9,9,M,4
90,1,3,3,M,4
90,2,6,2,M,4
91,1,5,5,H,3
91,2,3,7,M,4
92,1,8,8,H,2
92,2,1,5,H,3
93,1,5,4,M,2
93,2,4,9,H,2
94,1,4,1,H,1
94,2,2,2,M,2
95,1,9,9,M,1
95,2,7,3,H,1
96,1,9,1,M,1
96,2,7,9,H,0
97,1,6,1,H,0
97,2,8,2,M,0
