Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,3,H,16
1,2,1,2,M,17
2,1,7,5,M,16
2,2,7,9,M,17
3,1,1,7,M,16
3,2,5,0,M,17
4,1,4,6,M,16
4,2,5,8,M,17
5,1,8,1,H,15
5,2,3,5,H,16
6,1,7,1,M,15
6,2,9,9,M,16
7,1,1,1,M,15
7,2,2,4,M,16
8,1,5,1,M,15
8,2,5,2,M,16
9,1,5,3,M,15
9,2,1,0,M,16
10,1,9,1,M,15
10,2,8,6,M,16
11,1,8,7,M,15
11,2,2,7,M,16
12,1,6,0,M,15
12,2,4,3,H,15
13,1,4,0,M,15
13,2,5,1,M,15
14,1,6,4,H,14
14,2,3,4,M,15
15,1,3,4,M,14
15,2,0,2,H,14
16,1,0,5,M,14
16,2,2,9,M,14
17,1,6,1,M,14
17,2,0,7,M,14
18,1,1,2,M,14
18,2,0,6,M,14
19,1,9,6,M,14
19,2,8,8,M,14
20,1,9,2,M,14
20,2,0,5,M,14
21,1,9,9,M,14
21,2,4,6,M,14
22,1,0,7,M,14
22,2,4,7,M,14
23,1,2,0,M,14
23,2,0,4,M,14
24,1,3,9,M,14
24,2,2,2,M,14
25,1,4,5,M,14
25,2,8,5,M,14
26,1,9,7,M,14
26,2,8,2,M,14
27,1,9,3,M,14
27,2,8,0,M,14
28,1,1,8,M,14
28,2,5,9,M,14
29,1,5,0,M,14
29,2,1,5,H,13
30,1,0,3,M,14
30,2,7,0,M,13
31,1,0,4,M,14
31,2,9,0,M,13
32,1,5,7,H,13
32,2,4,0,M,13
33,1,8,0,M,13
33,2,1,8,M,13
34,1,7,3,M,13
34,2,2,0,M,13
35,1,5,6,M,13
35,2,2,8,M,13
36,1,0,1,M,13
36,2,4,9,M,13
37,1,2,8,M,13
37,2,3,8,M,13
38,1,2,2,M,13
38,2,2,5,H,12
39,1,3,5,M,13
39,2,3,0,M,12
40,1,2,4,M,13
40,2,3,1,M,12
41,1,6,5,H,12
41,2,6,6,M,12
42,1,3,1,H,11
42,2,3,6,M,12
43,1,2,9,M,11
43,2,6,5,M,12
44,1,7,7,M,11
44,2,6,4,M,12
45,1,3,7,H,10
45,2,6,7,M,12
46,1,8,4,H,9
46,2,8,9,M,12
47,1,4,3,H,8
47,2,3,9,M,12
48,1,5,2,M,8
48,2,9,1,M,12
49,1,4,4,M,8
49,2,7,7,M,12
50,1,9,4,M,8
50,2,9,4,M,12
51,1,7,0,M,8
51,2,2,3,M,12
52,1,2,3,M,8
52,2,2,6,M,12
53,1,7,6,M,8
53,2,3,2,M,12
54,1,8,5,M,8
54,2,5,6,M,12
55,1,3,3,H,7
55,2,6,1,M,12
56,1,8,8,M,7
56,2,4,8,M,12
57,1,5,8,M,7
57,2,1,3,M,12
58,1,4,2,H,6
58,2,6,0,M,12
59,1,6,2,M,6
59,2,8,1,M,12
60,1,8,6,M,6
60,2,4,5,H,11
61,1,1,9,M,6
61,2,0,0,M,11
62,1,2,6,M,6
62,2,5,4,M,11
63,1,6,7,H,5
63,2,3,3,M,11
64,1,2,1,M,5
64,2,5,7,M,11
65,1,0,6,M,5
65,2,7,1,M,11
66,1,1,6,M,5
66,2,1,6,M,11
67,1,7,8,M,5
67,2,5,3,M,11
68,1,8,9,M,5
68,2,4,2,H,10
69,1,1,4,M,5
69,2,6,9,M,10
70,1,6,6,M,5
70,2,6,2,M,10
71,1,5,9,M,5
71,2,0,8,M,10
72,1,3,0,M,5
72,2,9,5,H,9
73,1,2,7,H,4
73,2,0,9,H,8
74,1,5,4,M,4
74,2,7,6,M,8
75,1,9,5,M,4
75,2,7,4,M,8
76,1,5,5,M,4
76,2,9,6,H,7
77,1,3,8,M,4
77,2,0,1,H,6
78,1,9,8,M,4
78,2,9,7,H,5
79,1,4,1,M,4
79,2,3,7,M,5
80,1,4,9,M,4
80,2,6,8,M,5
81,1,4,8,M,4
81,2,1,9,H,4
82,1,0,2,M,4
82,2,2,1,M,4
83,1,6,9,M,4
83,2,4,1,H,3
84,1,0,0,M,4
84,2,7,8,M,3
85,1,7,9,M,4
85,2,5,5,M,3
86,1,1,3,M,4
86,2,8,3,M,3
87,1,6,8,M,4
87,2,6,3,M,3
88,1,1,5,M,4
88,2,1,4,M,3
89,1,1,0,M,4
89,2,7,5,M,3
90,1,3,6,M,4
90,2,8,7,M,3
91,1,7,2,M,4
91,2,9,3,M,3
92,1,9,0,M,4
92,2,0,3,H,2
93,1,4,7,H,3
93,2,1,7,M,2
94,1,0,9,M,3
94,2,8,4,M,2
95,1,7,4,M,3
95,2,4,4,H,1
96,1,8,2,H,2
96,2,9,2,M,1
97,1,0,8,M,2
97,2,9,8,H,0
98,1,2,5,M,2
98,2,7,2,M,0
99,1,3,2,H,1
99,2,1,1,M,0
100,1,8,3,H,0
100,2,7,3,M,0
