Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,3,M,17
1,2,8,3,M,17
2,1,5,6,M,17
2,2,9,4,M,17
3,1,2,4,M,17
3,2,6,1,M,17
4,1,6,1,H,16
4,2,1,9,H,16
5,1,7,2,M,16
5,2,4,7,M,16
6,1,2,2,M,16
6,2,5,1,M,16
7,1,3,6,M,16
7,2,3,0,M,16
8,1,0,4,M,16
8,2,0,3,M,16
9,1,8,5,M,16
9,2,9,3,M,16
10,1,0,0,M,16
10,2,6,3,M,16
11,1,9,2,M,16
11,2,3,8,M,16
12,1,1,0,M,16
12,2,7,2,M,16
13,1,4,4,H,15
13,2,9,6,M,16
14,1,2,1,M,15
14,2,9,7,M,16
15,1,8,8,M,15
15,2,6,5,M,16
16,1,5,4,M,15
16,2,0,4,M,16
17,1,9,9,M,15
17,2,0,8,M,16
18,1,8,0,M,15
18,2,3,6,M,16
19,1,4,6,M,15
19,2,8,2,M,16
20,1,5,9,M,15
20,2,9,1,M,16
21,1,2,7,H,14
21,2,9,9,H,15
22,1,4,3,M,14
22,2,7,3,M,15
23,1,1,3,M,14
23,2,1,6,M,15
24,1,8,4,M,14
24,2,8,5,M,15
25,1,8,3,M,14
25,2,2,4,M,15
26,1,5,5,M,14
26,2,8,7,M,15
27,1,1,9,M,14
27,2,8,1,M,15
28,1,9,3,M,14
28,2,2,8,M,15
29,1,0,5,M,14
29,2,4,8,M,15
30,1,5,3,M,14
30,2,1,2,M,15
31,1,2,0,M,14
31,2,2,1,H,14
32,1,8,7,M,14
32,2,7,5,M,14
33,1,0,8,M,14
33,2,6,0,M,14
34,1,0,2,M,14
34,2,8,8,M,14
35,1,5,1,H,13
35,2,7,6,H,13
36,1,2,3,M,13
36,2,7,7,M,13
37,1,9,4,M,13
37,2,9,0,M,13
38,1,7,0,H,12
38,2,8,6,H,12
39,1,0,1,M,12
39,2,6,9,H,11
40,1,3,4,M,12
40,2,5,2,M,11
41,1,7,8,M,12
41,2,8,4,M,11
42,1,1,8,M,12
42,2,8,0,M,11
43,1,5,0,H,11
43,2,2,5,M,11
44,1,8,6,M,11
44,2,3,3,M,11
45,1,4,1,H,10
45,2,6,4,M,11
46,1,1,4,M,10
46,2,4,1,M,11
47,1,9,6,M,10
47,2,0,2,M,11
48,1,9,8,M,10
48,2,7,1,M,11
49,1,6,6,M,10
49,2,4,6,H,10
50,1,8,9,M,10
50,2,3,7,M,10
51,1,3,9,M,10
51,2,5,3,H,9
52,1,7,9,M,10
52,2,9,8,M,9
53,1,8,1,M,10
53,2,0,1,H,8
54,1,6,7,H,9
54,2,3,9,M,8
55,1,3,5,M,9
55,2,1,4,M,8
56,1,3,0,M,9
56,2,2,3,M,8
57,1,4,8,M,9
57,2,0,6,M,8
58,1,6,3,M,9
58,2,1,1,H,7
59,1,7,6,M,9
59,2,1,7,H,6
60,1,3,8,M,9
60,2,2,7,M,6
61,1,1,1,M,9
61,2,4,5,M,6
62,1,4,7,M,9
62,2,3,1,M,6
63,1,7,5,M,9
63,2,5,5,M,6
64,1,7,4,M,9
64,2,0,0,M,6
65,1,6,9,H,8
65,2,1,3,M,6
66,1,6,2,M,8
66,2,3,5,M,6
67,1,5,8,M,8
67,2,5,9,M,6
68,1,3,2,M,8
68,2,9,2,M,6
69,1,2,8,H,7
69,2,6,6,H,5
70,1,3,1,H,6
70,2,1,8,H,4
71,1,5,7,M,6
71,2,5,7,M,4
72,1,2,9,M,6
72,2,0,9,M,4
73,1,9,1,M,6
73,2,6,8,M,4
74,1,6,5,M,6
74,2,4,4,M,4
75,1,3,7,M,6
75,2,4,9,M,4
76,1,0,6,M,6
76,2,2,0,M,4
77,1,6,0,H,5
77,2,5,0,M,4
78,1,7,7,M,5
78,2,2,6,M,4
79,1,2,5,M,5
79,2,9,5,M,4
80,1,4,5,H,4
80,2,5,6,H,3
81,1,1,2,M,4
81,2,6,7,M,3
82,1,4,9,M,4
82,2,8,9,H,2
83,1,1,5,M,4
83,2,1,5,M,2
84,1,1,6,M,4
84,2,0,7,M,2
85,1,7,1,H,3
85,2,4,3,M,2
86,1,4,0,H,2
86,2,7,4,M,2
87,1,7,3,M,2
87,2,4,0,M,2
88,1,5,2,M,2
88,2,4,2,M,2
89,1,6,8,H,1
89,2,5,8,M,2
90,1,8,2,M,1
90,2,3,2,M,2
91,1,3,3,M,1
91,2,7,8,M,2
92,1,6,4,M,1
92,2,2,9,M,2
93,1,9,7,M,1
93,2,3,4,M,2
94,1,2,6,H,0
94,2,5,4,H,1
95,1,4,2,M,0
95,2,0,5,M,1
96,1,9,5,M,0
96,2,1,0,M,1
97,1,0,7,M,0
97,2,6,2,M,1
98,1,0,9,M,0
98,2,7,9,H,0
