Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,1,M,17
1,2,3,6,M,17
2,1,8,2,M,17
2,2,0,2,M,17
3,1,5,2,M,17
3,2,3,7,M,17
4,1,7,9,M,17
4,2,9,5,M,17
5,1,3,6,M,17
5,2,8,9,M,17
6,1,3,9,M,17
6,2,9,6,M,17
7,1,2,0,M,17
7,2,3,3,M,17
8,1,0,7,H,16
8,2,0,7,M,17
9,1,2,4,H,15
9,2,6,2,H,16
10,1,8,8,M,15
10,2,5,8,M,16
11,1,7,1,M,15
11,2,6,3,M,16
12,1,8,0,M,15
12,2,4,1,M,16
13,1,8,3,M,15
13,2,7,1,M,16
14,1,6,7,M,15
14,2,3,4,M,16
15,1,6,4,M,15
15,2,8,1,M,16
16,1,3,3,M,15
16,2,1,8,M,16
17,1,1,8,M,15
17,2,7,5,M,16
18,1,7,0,M,15
18,2,7,6,H,15
19,1,2,2,H,14
19,2,4,5,M,15
20,1,1,2,M,14
20,2,7,8,M,15
21,1,6,6,M,14
21,2,0,4,M,15
22,1,9,6,M,14
22,2,8,2,H,14
23,1,7,5,M,14
23,2,3,0,M,14
24,1,8,9,M,14
24,2,5,2,M,14
25,1,0,0,H,13
25,2,3,2,M,14
26,1,5,9,M,13
26,2,2,2,M,14
27,1,2,3,H,12
27,2,0,9,M,14
28,1,3,5,M,12
28,2,9,9,M,14
29,1,2,9,M,12
29,2,5,5,M,14
30,1,4,5,M,12
30,2,5,1,M,14
31,1,6,2,M,12
31,2,5,9,H,13
32,1,9,5,M,12
32,2,0,0,M,13
33,1,3,7,M,12
33,2,4,4,M,13
34,1,8,1,M,12
34,2,6,9,H,12
35,1,4,3,M,12
35,2,4,2,M,12
36,1,9,1,M,12
36,2,9,1,M,12
37,1,8,6,M,12
37,2,6,1,M,12
38,1,9,4,M,12
38,2,3,9,H,11
39,1,0,6,H,11
39,2,8,3,M,11
40,1,0,2,M,11
40,2,7,9,H,10
41,1,1,4,H,10
41,2,5,7,M,10
42,1,4,1,M,10
42,2,4,6,M,10
43,1,4,2,M,10
43,2,5,0,M,10
44,1,9,3,M,10
44,2,2,0,M,10
45,1,4,8,M,10
45,2,2,3,M,10
46,1,9,9,H,9
46,2,6,5,M,10
47,1,2,5,H,8
47,2,4,9,H,9
48,1,1,5,H,7
48,2,4,3,M,9
49,1,3,8,M,7
49,2,9,8,M,9
50,1,6,9,M,7
50,2,2,5,M,9
51,1,9,0,M,7
51,2,2,4,M,9
52,1,3,4,M,7
52,2,1,1,M,9
53,1,7,7,M,7
53,2,1,9,M,9
54,1,3,1,M,7
54,2,7,3,M,9
55,1,4,0,M,7
55,2,0,8,M,9
56,1,1,0,H,6
56,2,9,0,M,9
57,1,5,3,M,6
57,2,6,0,M,9
58,1,2,1,M,6
58,2,6,4,H,8
59,1,7,2,M,6
59,2,1,4,H,7
60,1,5,5,M,6
60,2,3,8,M,7
61,1,4,9,M,6
61,2,0,3,M,7
62,1,6,5,M,6
62,2,5,4,H,6
63,1,8,4,M,6
63,2,4,8,M,6
64,1,3,0,M,6
64,2,9,2,H,5
65,1,8,5,M,6
65,2,2,7,M,5
66,1,1,9,M,6
66,2,6,8,M,5
67,1,0,4,H,5
67,2,1,0,M,5
68,1,5,6,M,5
68,2,0,6,M,5
69,1,6,3,M,5
69,2,8,7,M,5
70,1,5,7,M,5
70,2,8,5,M,5
71,1,4,7,M,5
71,2,3,5,M,5
72,1,1,3,H,4
72,2,7,4,H,4
73,1,0,5,H,3
73,2,7,7,H,3
74,1,7,8,M,3
74,2,8,0,M,3
75,1,1,6,M,3
75,2,0,1,M,3
76,1,4,4,M,3
76,2,7,2,H,2
77,1,8,7,M,3
77,2,1,7,M,2
78,1,0,3,M,3
78,2,3,1,M,2
79,1,3,2,M,3
79,2,2,9,M,2
80,1,4,6,M,3
80,2,2,6,M,2
81,1,9,8,H,2
81,2,1,2,H,1
82,1,2,7,M,2
82,2,7,0,M,1
83,1,5,8,M,2
83,2,9,7,M,1
84,1,5,4,M,2
84,2,0,5,M,1
85,1,7,3,M,2
85,2,1,3,H,0
86,1,6,8,M,2
86,2,1,6,M,0
87,1,0,8,H,1
87,2,2,8,M,0
88,1,7,4,M,1
88,2,8,8,M,0
89,1,2,6,M,1
89,2,2,1,M,0
90,1,9,7,H,0
90,2,5,6,M,0
