Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,4,M,17
1,2,2,3,M,17
2,1,1,1,M,17
2,2,0,6,M,17
3,1,5,8,M,17
3,2,1,6,M,17
4,1,8,4,M,17
4,2,6,8,H,16
5,1,2,6,M,17
5,2,2,8,M,16
6,1,7,2,M,17
6,2,9,8,M,16
7,1,8,2,M,17
7,2,1,4,M,16
8,1,4,0,M,17
8,2,4,9,M,16
9,1,8,3,M,17
9,2,9,1,M,16
10,1,0,7,M,17
10,2,2,2,M,16
11,1,6,6,M,17
11,2,5,8,H,15
12,1,9,1,M,17
12,2,7,5,M,15
13,1,5,5,M,17
13,2,0,4,M,15
14,1,8,8,H,16
14,2,5,9,M,15
15,1,8,6,H,15
15,2,0,8,H,14
16,1,4,3,M,15
16,2,2,1,M,14
17,1,2,5,H,14
17,2,4,8,H,13
18,1,3,3,M,14
18,2,6,6,M,13
19,1,9,9,M,14
19,2,9,6,M,13
20,1,7,9,M,14
20,2,4,6,H,12
21,1,5,3,M,14
21,2,2,6,M,12
22,1,4,9,M,14
22,2,4,3,M,12
23,1,0,5,M,14
23,2,8,1,M,12
24,1,1,0,M,14
24,2,7,6,M,12
25,1,4,7,M,14
25,2,5,4,M,12
26,1,8,0,M,14
26,2,5,6,H,11
27,1,6,5,M,14
27,2,8,2,M,11
28,1,9,2,M,14
28,2,7,9,M,11
29,1,0,2,M,14
29,2,3,1,H,10
30,1,9,7,M,14
30,2,4,1,M,10
31,1,0,9,M,14
31,2,5,2,M,10
32,1,2,9,M,14
32,2,6,7,M,10
33,1,5,6,M,14
33,2,5,1,M,10
34,1,8,1,M,14
34,2,9,4,M,10
35,1,9,5,M,14
35,2,3,9,M,10
36,1,1,6,M,14
36,2,8,0,M,10
37,1,5,9,M,14
37,2,1,3,M,10
38,1,9,4,M,14
38,2,9,5,M,10
39,1,7,8,M,14
39,2,7,8,H,9
40,1,1,9,M,14
40,2,1,9,M,9
41,1,7,3,M,14
41,2,6,0,M,9
42,1,7,4,H,13
42,2,6,5,M,9
43,1,1,7,M,13
43,2,6,1,M,9
44,1,0,3,M,13
44,2,0,7,H,8
45,1,2,2,H,12
45,2,9,0,M,8
46,1,6,0,M,12
46,2,8,5,M,8
47,1,4,4,M,12
47,2,4,2,M,8
48,1,3,2,H,11
48,2,7,1,M,8
49,1,2,3,M,11
49,2,5,7,M,8
50,1,3,9,M,11
50,2,8,7,H,7
51,1,0,1,M,11
51,2,0,0,M,7
52,1,4,8,M,11
52,2,4,4,M,7
53,1,2,7,M,11
53,2,7,2,M,7
54,1,1,5,M,11
54,2,9,9,M,7
55,1,7,5,M,11
55,2,6,2,M,7
56,1,7,1,M,11
56,2,7,3,M,7
57,1,5,0,M,11
57,2,0,3,M,7
58,1,4,5,H,10
58,2,3,3,H,6
59,1,3,7,M,10
59,2,1,1,M,6
60,1,2,8,M,10
60,2,3,2,H,5
61,1,6,2,H,9
61,2,8,3,M,5
62,1,0,4,M,9
62,2,8,4,M,5
63,1,3,8,M,9
63,2,4,5,M,5
64,1,3,6,M,9
64,2,2,5,M,5
65,1,0,6,M,9
65,2,5,5,M,5
66,1,7,7,M,9
66,2,2,9,M,5
67,1,6,8,M,9
67,2,3,6,H,4
68,1,6,9,M,9
68,2,2,0,M,4
69,1,1,2,M,9
69,2,5,3,M,4
70,1,8,7,H,8
70,2,3,8,H,3
71,1,2,0,M,8
71,2,6,4,M,3
72,1,9,8,M,8
72,2,3,4,H,2
73,1,0,8,M,8
73,2,9,7,H,1
74,1,3,1,M,8
74,2,0,1,M,1
75,1,5,2,H,7
75,2,4,7,M,1
76,1,1,8,M,7
76,2,4,0,M,1
77,1,6,1,M,7
77,2,6,3,M,1
78,1,1,4,H,6
78,2,1,5,M,1
79,1,4,6,M,6
79,2,2,4,M,1
80,1,6,3,M,6
80,2,0,9,M,1
81,1,6,7,M,6
81,2,3,7,M,1
82,1,4,1,M,6
82,2,3,0,M,1
83,1,3,4,M,6
83,2,9,2,M,1
84,1,8,5,H,5
84,2,8,9,M,1
85,1,9,0,M,5
85,2,7,7,H,0
86,1,1,3,H,4
86,2,8,8,M,0
87,1,7,6,M,4
87,2,7,0,M,0
88,1,8,9,M,4
88,2,5,0,M,0
89,1,5,1,M,4
89,2,8,6,M,0
90,1,9,6,M,4
90,2,1,0,M,0
91,1,6,4,H,3
91,2,0,2,M,0
92,1,5,7,M,3
92,2,6,9,M,0
93,1,3,0,M,3
93,2,9,3,M,0
94,1,7,0,M,3
94,2,1,2,M,0
95,1,0,0,M,3
95,2,0,5,M,0
96,1,3,5,H,2
96,2,1,7,M,0
97,1,4,2,H,1
97,2,1,8,M,0
98,1,9,3,M,1
98,2,7,4,M,0
99,1,5,4,H,0
99,2,3,5,M,0
