Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,8,M,17
1,2,6,6,M,17
2,1,0,5,M,17
2,2,5,6,M,17
3,1,1,0,M,17
3,2,5,5,M,17
4,1,6,8,M,17
4,2,9,6,M,17
5,1,8,5,H,16
5,2,3,1,H,16
6,1,8,4,M,16
6,2,2,5,H,15
7,1,3,2,H,15
7,2,6,8,M,15
8,1,9,7,M,15
8,2,9,1,M,15
9,1,6,1,M,15
9,2,2,1,M,15
10,1,3,4,M,15
10,2,3,4,M,15
11,1,3,3,M,15
11,2,4,8,M,15
12,1,1,1,M,15
12,2,9,9,M,15
13,1,1,4,M,15
13,2,2,7,H,14
14,1,7,3,M,15
14,2,7,3,M,14
15,1,2,8,M,15
15,2,4,3,M,14
16,1,1,8,M,15
16,2,7,0,M,14
17,1,3,1,M,15
17,2,0,6,M,14
18,1,4,1,M,15
18,2,3,0,M,14
19,1,0,6,M,15
19,2,0,1,M,14
20,1,9,5,M,15
20,2,2,0,M,14
21,1,5,9,M,15
21,2,5,0,M,14
22,1,7,9,M,15
22,2,1,6,M,14
23,1,2,4,M,15
23,2,9,0,M,14
24,1,5,5,M,15
24,2,4,5,H,13
25,1,2,5,M,15
25,2,6,5,M,13
26,1,9,4,M,15
26,2,6,3,M,13
27,1,9,2,H,14
27,2,4,0,M,13
28,1,1,5,M,14
28,2,1,0,M,13
29,1,9,0,H,13
29,2,5,9,M,13
30,1,8,1,M,13
30,2,6,2,M,13
31,1,5,1,M,13
31,2,9,2,M,13
32,1,0,3,M,13
32,2,8,5,M,13
33,1,8,2,M,13
33,2,9,5,M,13
34,1,0,4,M,13
34,2,7,4,M,13
35,1,5,7,M,13
35,2,5,2,M,13
36,1,1,3,M,13
36,2,3,3,M,13
37,1,6,6,M,13
37,2,1,1,M,13
38,1,8,0,M,13
38,2,2,3,M,13
39,1,5,4,M,13
39,2,2,6,H,12
40,1,0,8,M,13
40,2,0,5,H,11
41,1,0,9,M,13
41,2,0,7,M,11
42,1,3,0,M,13
42,2,6,9,M,11
43,1,7,4,M,13
43,2,2,9,H,10
44,1,8,6,M,13
44,2,5,4,M,10
45,1,2,9,M,13
45,2,2,4,M,10
46,1,5,6,M,13
46,2,4,1,H,9
47,1,0,1,M,13
47,2,1,4,M,9
48,1,0,2,M,13
48,2,8,0,M,9
49,1,2,3,M,13
49,2,8,7,M,9
50,1,4,6,M,13
50,2,4,7,H,8
51,1,5,3,M,13
51,2,4,2,M,8
52,1,8,8,M,13
52,2,3,7,M,8
53,1,1,2,H,12
53,2,3,2,M,8
54,1,4,3,M,12
54,2,1,9,M,8
55,1,6,2,M,12
55,2,7,9,M,8
56,1,7,1,M,12
56,2,7,5,M,8
57,1,7,7,M,12
57,2,2,8,H,7
58,1,7,6,M,12
58,2,8,4,M,7
59,1,5,2,H,11
59,2,7,2,M,7
60,1,4,2,H,10
60,2,0,0,M,7
61,1,3,5,M,10
61,2,5,1,H,6
62,1,2,0,M,10
62,2,4,4,M,6
63,1,3,7,M,10
63,2,8,3,M,6
64,1,7,2,M,10
64,2,4,9,M,6
65,1,7,0,M,10
65,2,9,8,M,6
66,1,6,5,H,9
66,2,1,7,M,6
67,1,8,7,M,9
67,2,8,2,M,6
68,1,6,3,H,8
68,2,8,1,M,6
69,1,8,3,M,8
69,2,3,6,M,6
70,1,4,9,M,8
70,2,1,5,M,6
71,1,9,1,H,7
71,2,6,0,M,6
72,1,9,3,H,6
72,2,1,2,M,6
73,1,3,8,M,6
73,2,0,2,H,5
74,1,4,7,M,6
74,2,8,6,M,5
75,1,0,7,H,5
75,2,6,4,M,5
76,1,6,4,H,4
76,2,3,9,M,5
77,1,2,6,M,4
77,2,2,2,M,5
78,1,9,9,M,4
78,2,5,3,M,5
79,1,2,2,H,3
79,2,8,8,M,5
80,1,9,8,M,3
80,2,7,7,M,5
81,1,4,4,M,3
81,2,7,8,M,5
82,1,1,6,M,3
82,2,5,7,H,4
83,1,8,9,M,3
83,2,6,1,M,4
84,1,5,0,M,3
84,2,7,1,M,4
85,1,1,9,M,3
85,2,6,7,H,3
86,1,6,7,M,3
86,2,0,8,M,3
87,1,4,8,M,3
87,2,9,3,M,3
88,1,6,9,M,3
88,2,9,4,M,3
89,1,0,0,M,3
89,2,7,6,M,3
90,1,1,7,H,2
90,2,5,8,M,3
91,1,3,6,M,2
91,2,3,8,M,3
92,1,7,5,H,1
92,2,3,5,H,2
93,1,6,0,M,1
93,2,0,3,H,1
94,1,4,0,M,1
94,2,1,8,M,1
95,1,9,6,M,1
95,2,0,4,H,0
96,1,2,1,M,1
96,2,9,7,M,0
97,1,4,5,M,1
97,2,1,3,M,0
98,1,3,9,M,1
98,2,4,6,M,0
99,1,5,8,M,1
99,2,0,9,M,0
100,1,2,7,H,0
100,2,8,9,M,0
