Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,4,M,17
1,2,5,8,M,17
2,1,2,4,M,17
2,2,0,0,M,17
3,1,1,9,M,17
3,2,3,6,M,17
4,1,5,9,H,16
4,2,4,4,M,17
5,1,0,0,M,16
5,2,5,1,M,17
6,1,0,1,M,16
6,2,5,9,M,17
7,1,2,6,M,16
7,2,7,2,H,16
8,1,8,6,H,15
8,2,1,7,H,15
9,1,6,9,H,14
9,2,0,1,M,15
10,1,8,5,M,14
10,2,8,7,M,15
11,1,3,9,M,14
11,2,0,6,M,15
12,1,3,8,M,14
12,2,7,0,M,15
13,1,0,5,M,14
13,2,0,9,M,15
14,1,3,4,M,14
14,2,8,2,M,15
15,1,1,7,M,14
15,2,1,2,M,15
16,1,3,1,H,13
16,2,2,6,M,15
17,1,0,7,M,13
17,2,1,1,M,15
18,1,4,6,M,13
18,2,8,8,M,15
19,1,1,5,M,13
19,2,0,2,M,15
20,1,0,4,M,13
20,2,6,7,M,15
21,1,6,5,M,13
21,2,7,4,H,14
22,1,5,5,M,13
22,2,6,6,M,14
23,1,1,0,M,13
23,2,9,7,M,14
24,1,8,9,H,12
24,2,0,3,M,14
25,1,7,4,M,12
25,2,2,5,M,14
26,1,5,7,M,12
26,2,8,9,M,14
27,1,7,0,M,12
27,2,3,5,M,14
28,1,8,2,M,12
28,2,0,4,H,13
29,1,0,9,M,12
29,2,3,9,M,13
30,1,7,9,H,11
30,2,4,8,M,13
31,1,2,3,M,11
31,2,7,1,H,12
32,1,4,8,M,11
32,2,6,2,M,12
33,1,7,8,M,11
33,2,2,0,M,12
34,1,6,4,M,11
34,2,8,4,M,12
35,1,6,8,M,11
35,2,4,3,H,11
36,1,8,7,M,11
36,2,8,1,M,11
37,1,1,1,H,10
37,2,4,9,M,11
38,1,9,9,H,9
38,2,6,8,M,11
39,1,3,7,M,9
39,2,1,3,M,11
40,1,0,8,M,9
40,2,6,1,M,11
41,1,8,0,M,9
41,2,5,3,H,10
42,1,7,1,M,9
42,2,8,5,M,10
43,1,2,7,M,9
43,2,0,7,H,9
44,1,1,4,M,9
44,2,2,9,M,9
45,1,1,2,M,9
45,2,5,0,M,9
46,1,4,0,M,9
46,2,1,4,H,8
47,1,8,8,M,9
47,2,7,8,M,8
48,1,7,6,M,9
48,2,2,3,M,8
49,1,6,7,M,9
49,2,2,4,H,7
50,1,6,3,M,9
50,2,9,4,M,7
51,1,6,2,M,9
51,2,4,5,M,7
52,1,0,3,M,9
52,2,3,7,H,6
53,1,7,7,M,9
53,2,8,6,M,6
54,1,6,6,M,9
54,2,4,0,M,6
55,1,3,0,M,9
55,2,5,7,M,6
56,1,5,3,H,8
56,2,8,3,M,6
57,1,0,6,M,8
57,2,9,1,M,6
58,1,1,6,M,8
58,2,9,3,M,6
59,1,9,4,M,8
59,2,0,5,M,6
60,1,5,8,M,8
60,2,4,7,H,5
61,1,2,5,M,8
61,2,6,0,M,5
62,1,9,7,M,8
62,2,3,1,M,5
63,1,6,1,M,8
63,2,7,3,M,5
64,1,6,0,M,8
64,2,4,6,M,5
65,1,5,0,H,7
65,2,4,1,M,5
66,1,5,4,M,7
66,2,5,5,M,5
67,1,3,2,H,6
67,2,2,8,M,5
68,1,4,9,M,6
68,2,3,3,H,4
69,1,0,2,M,6
69,2,9,9,M,4
70,1,9,3,M,6
70,2,7,7,H,3
71,1,4,7,M,6
71,2,9,0,M,3
72,1,9,1,M,6
72,2,2,2,M,3
73,1,9,8,M,6
73,2,3,2,M,3
74,1,4,5,M,6
74,2,9,6,M,3
75,1,2,8,M,6
75,2,3,4,M,3
76,1,9,6,H,5
76,2,1,6,M,3
77,1,2,2,H,4
77,2,1,5,M,3
78,1,4,3,M,4
78,2,3,8,M,3
79,1,8,3,M,4
79,2,1,0,M,3
80,1,4,2,H,3
80,2,2,7,H,2
81,1,1,8,M,3
81,2,8,0,M,2
82,1,9,0,M,3
82,2,9,2,M,2
83,1,2,0,M,3
83,2,0,8,M,2
84,1,3,3,M,3
84,2,6,9,M,2
85,1,3,5,M,3
85,2,5,4,M,2
86,1,4,4,M,3
86,2,7,9,M,2
87,1,9,5,M,3
87,2,7,6,H,1
88,1,4,1,M,3
88,2,6,3,M,1
89,1,5,2,H,2
89,2,9,5,M,1
90,1,8,1,M,2
90,2,1,8,M,1
91,1,9,2,M,2
91,2,5,2,M,1
92,1,1,3,M,2
92,2,3,0,M,1
93,1,2,9,M,2
93,2,1,9,M,1
94,1,7,5,M,2
94,2,7,5,H,0
95,1,7,2,M,2
95,2,6,5,M,0
96,1,3,6,M,2
96,2,6,4,M,0
97,1,5,6,M,2
97,2,4,2,M,0
98,1,5,1,H,1
98,2,5,6,M,0
99,1,7,3,M,1
99,2,9,8,M,0
100,1,2,1,H,0
100,2,2,1,M,0
