Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,8,M,17
1,2,3,9,M,17
2,1,2,6,M,17
2,2,6,6,H,16
3,1,0,9,M,17
3,2,8,4,M,16
4,1,8,1,M,17
4,2,0,8,M,16
5,1,0,7,M,17
5,2,0,5,H,15
6,1,6,1,M,17
6,2,9,3,M,15
7,1,7,2,H,16
7,2,5,9,M,15
8,1,3,9,M,16
8,2,1,4,M,15
9,1,5,9,M,16
9,2,0,9,M,15
10,1,2,4,H,15
10,2,3,0,H,14
11,1,1,0,M,15
11,2,2,9,M,14
12,1,3,5,M,15
12,2,3,7,M,14
13,1,4,6,M,15
13,2,0,6,H,13
14,1,4,8,M,15
14,2,7,1,M,13
15,1,7,3,H,14
15,2,2,4,M,13
16,1,6,3,H,13
16,2,4,9,M,13
17,1,8,9,M,13
17,2,5,1,M,13
18,1,7,8,M,13
18,2,5,0,M,13
19,1,4,1,M,13
19,2,1,0,H,12
20,1,8,3,M,13
20,2,2,7,M,12
21,1,4,5,M,13
21,2,3,3,M,12
22,1,4,0,M,13
22,2,5,3,M,12
23,1,0,0,M,13
23,2,4,4,M,12
24,1,5,7,H,12
24,2,9,9,M,12
25,1,6,6,M,12
25,2,6,1,M,12
26,1,0,1,M,12
26,2,9,1,M,12
27,1,7,9,M,12
27,2,3,1,M,12
28,1,2,2,M,12
28,2,1,5,M,12
29,1,9,4,M,12
29,2,1,9,M,12
30,1,1,6,M,12
30,2,6,2,M,12
31,1,9,5,M,12
31,2,9,2,M,12
32,1,3,7,M,12
32,2,8,0,M,12
33,1,1,9,M,12
33,2,0,2,M,12
34,1,1,5,M,12
34,2,3,8,H,11
35,1,4,2,H,11
35,2,0,3,H,10
36,1,9,8,M,11
36,2,3,5,M,10
37,1,8,6,M,11
37,2,6,7,H,9
38,1,8,2,M,11
38,2,7,6,M,9
39,1,4,9,M,11
39,2,5,7,M,9
40,1,0,4,H,10
40,2,7,5,M,9
41,1,8,5,M,10
41,2,7,7,M,9
42,1,4,4,M,10
42,2,5,8,M,9
43,1,1,2,M,10
43,2,4,0,H,8
44,1,7,5,M,10
44,2,9,4,M,8
45,1,7,4,M,10
45,2,5,4,M,8
46,1,0,6,M,10
46,2,7,4,M,8
47,1,0,2,M,10
47,2,0,4,H,7
48,1,6,4,M,10
48,2,1,2,H,6
49,1,5,8,M,10
49,2,5,2,M,6
50,1,2,7,M,10
50,2,9,5,M,6
51,1,7,6,M,10
51,2,6,3,M,6
52,1,6,0,M,10
52,2,6,5,M,6
53,1,2,0,M,10
53,2,3,4,M,6
54,1,1,3,M,10
54,2,9,8,M,6
55,1,1,8,M,10
55,2,0,1,M,6
56,1,5,0,M,10
56,2,8,2,M,6
57,1,5,3,H,9
57,2,1,3,H,5
58,1,0,3,M,9
58,2,2,0,H,4
59,1,6,2,H,8
59,2,0,7,H,3
60,1,8,4,M,8
60,2,8,7,M,3
61,1,3,2,H,7
61,2,9,6,M,3
62,1,6,5,M,7
62,2,8,6,M,3
63,1,9,9,M,7
63,2,7,0,M,3
64,1,6,9,M,7
64,2,4,8,M,3
65,1,4,3,H,6
65,2,0,0,M,3
66,1,3,1,M,6
66,2,1,8,H,2
67,1,1,4,H,5
67,2,2,3,M,2
68,1,9,7,M,5
68,2,9,7,M,2
69,1,2,9,M,5
69,2,7,9,M,2
70,1,8,7,M,5
70,2,1,6,M,2
71,1,9,6,M,5
71,2,3,6,M,2
72,1,3,8,M,5
72,2,4,5,M,2
73,1,7,0,M,5
73,2,8,8,M,2
74,1,1,7,M,5
74,2,4,7,M,2
75,1,7,1,M,5
75,2,8,3,M,2
76,1,9,2,M,5
76,2,6,0,M,2
77,1,3,0,M,5
77,2,7,8,M,2
78,1,2,3,H,4
78,2,5,6,M,2
79,1,6,7,M,4
79,2,1,7,M,2
80,1,5,2,H,3
80,2,7,3,M,2
81,1,3,4,H,2
81,2,2,1,M,2
82,1,8,0,M,2
82,2,3,2,M,2
83,1,3,3,H,1
83,2,8,1,M,2
84,1,4,7,H,0
84,2,8,9,M,2
85,1,5,6,M,0
85,2,6,8,M,2
86,1,6,8,M,0
86,2,2,5,M,2
87,1,8,8,M,0
87,2,4,1,M,2
88,1,9,3,M,0
88,2,2,2,M,2
89,1,1,1,M,0
89,2,5,5,M,2
90,1,2,1,M,0
90,2,6,4,M,2
91,1,9,1,M,0
91,2,2,8,H,1
92,1,7,7,M,0
92,2,4,6,M,1
93,1,2,5,M,0
93,2,6,9,M,1
94,1,5,4,M,0
94,2,7,2,M,1
95,1,5,5,M,0
95,2,9,0,M,1
96,1,0,5,M,0
96,2,2,6,M,1
97,1,3,6,M,0
97,2,4,3,M,1
98,1,0,8,M,0
98,2,8,5,M,1
99,1,9,0,M,0
99,2,1,1,H,0
