Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,5,M,17
1,2,0,2,M,17
2,1,8,4,M,17
2,2,9,2,M,17
3,1,0,3,H,16
3,2,7,0,M,17
4,1,3,5,M,16
4,2,0,7,M,17
5,1,7,8,H,15
5,2,5,3,M,17
6,1,9,5,M,15
6,2,0,5,M,17
7,1,8,2,M,15
7,2,2,7,H,16
8,1,6,7,M,15
8,2,2,9,M,16
9,1,4,3,H,14
9,2,8,6,M,16
10,1,1,7,M,14
10,2,4,6,M,16
11,1,9,8,M,14
11,2,8,7,M,16
12,1,6,3,M,14
12,2,6,8,M,16
13,1,8,9,H,13
13,2,1,8,M,16
14,1,5,7,M,13
14,2,5,1,M,16
15,1,3,4,M,13
15,2,1,9,M,16
16,1,6,8,M,13
16,2,1,3,H,15
17,1,1,5,M,13
17,2,6,2,M,15
18,1,7,9,H,12
18,2,8,9,M,15
19,1,5,4,M,12
19,2,5,5,H,14
20,1,5,0,H,11
20,2,3,6,M,14
21,1,8,3,M,11
21,2,6,0,M,14
22,1,8,6,M,11
22,2,7,7,H,13
23,1,1,6,M,11
23,2,7,1,M,13
24,1,4,4,M,11
24,2,6,1,M,13
25,1,5,2,H,10
25,2,3,4,M,13
26,1,0,4,M,10
26,2,5,6,H,12
27,1,9,4,M,10
27,2,4,3,M,12
28,1,7,6,M,10
28,2,7,2,M,12
29,1,0,1,M,10
29,2,6,4,M,12
30,1,9,0,M,10
30,2,5,9,M,12
31,1,0,8,M,10
31,2,3,0,H,11
32,1,1,1,M,10
32,2,0,8,M,11
33,1,6,1,M,10
33,2,4,7,M,11
34,1,9,6,M,10
34,2,0,9,M,11
35,1,2,4,M,10
35,2,2,8,M,11
36,1,3,9,M,10
36,2,9,8,M,11
37,1,0,5,M,10
37,2,5,0,M,11
38,1,0,0,M,10
38,2,2,6,M,11
39,1,1,3,H,9
39,2,9,9,M,11
40,1,6,4,M,9
40,2,5,7,M,11
41,1,2,9,M,9
41,2,2,3,H,10
42,1,2,6,M,9
42,2,9,6,M,10
43,1,8,1,M,9
43,2,5,4,M,10
44,1,5,9,M,9
44,2,7,8,H,9
45,1,3,8,M,9
45,2,0,3,H,8
46,1,7,0,M,9
46,2,1,0,H,7
47,1,6,5,M,9
47,2,1,5,M,7
48,1,3,3,H,8
48,2,2,0,H,6
49,1,0,9,M,8
49,2,3,9,M,6
50,1,3,6,M,8
50,2,6,9,M,6
51,1,4,9,M,8
51,2,0,4,M,6
52,1,1,9,M,8
52,2,4,9,M,6
53,1,1,0,M,8
53,2,8,5,M,6
54,1,2,7,M,8
54,2,8,8,M,6
55,1,5,3,H,7
55,2,7,6,H,5
56,1,5,1,H,6
56,2,4,0,M,5
57,1,2,1,M,6
57,2,2,5,M,5
58,1,4,8,M,6
58,2,2,1,M,5
59,1,4,6,M,6
59,2,9,3,M,5
60,1,1,2,M,6
60,2,6,5,M,5
61,1,9,7,M,6
61,2,9,0,M,5
62,1,3,0,M,6
62,2,8,0,M,5
63,1,7,4,M,6
63,2,0,0,M,5
64,1,8,8,H,5
64,2,1,1,M,5
65,1,0,2,M,5
65,2,4,4,M,5
66,1,5,8,M,5
66,2,4,8,M,5
67,1,1,8,M,5
67,2,5,8,M,5
68,1,7,5,M,5
68,2,3,5,M,5
69,1,4,1,M,5
69,2,2,2,M,5
70,1,2,8,M,5
70,2,7,3,M,5
71,1,1,4,M,5
71,2,8,4,M,5
72,1,9,3,M,5
72,2,6,6,M,5
73,1,9,9,M,5
73,2,3,8,M,5
74,1,9,2,M,5
74,2,4,1,M,5
75,1,3,2,M,5
75,2,4,5,M,5
76,1,7,7,H,4
76,2,2,4,M,5
77,1,7,2,M,4
77,2,0,1,M,5
78,1,2,3,H,3
78,2,8,3,M,5
79,1,3,7,M,3
79,2,1,4,M,5
80,1,7,3,M,3
80,2,3,1,M,5
81,1,8,0,M,3
81,2,8,1,M,5
82,1,2,0,M,3
82,2,9,5,M,5
83,1,3,1,M,3
83,2,5,2,M,5
84,1,4,5,M,3
84,2,8,2,M,5
85,1,6,2,M,3
85,2,6,3,M,5
86,1,8,7,H,2
86,2,3,2,M,5
87,1,2,5,M,2
87,2,6,7,M,5
88,1,4,0,M,2
88,2,9,7,M,5
89,1,4,7,M,2
89,2,0,6,M,5
90,1,9,1,M,2
90,2,9,4,M,5
91,1,6,6,H,1
91,2,3,7,H,4
92,1,6,9,M,1
92,2,7,9,H,3
93,1,0,7,M,1
93,2,3,3,H,2
94,1,5,5,M,1
94,2,7,5,H,1
95,1,7,1,M,1
95,2,9,1,M,1
96,1,6,0,M,1
96,2,1,2,M,1
97,1,0,6,M,1
97,2,1,7,H,0
98,1,2,2,M,1
98,2,4,2,M,0
99,1,5,6,H,0
99,2,1,6,M,0
