Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,5,M,17
1,2,7,8,M,17
2,1,8,1,M,17
2,2,4,8,H,16
3,1,6,0,M,17
3,2,4,3,H,15
4,1,5,7,M,17
4,2,8,9,M,15
5,1,0,1,M,17
5,2,3,9,M,15
6,1,2,0,H,16
6,2,1,0,M,15
7,1,0,9,M,16
7,2,0,5,M,15
8,1,0,0,M,16
8,2,2,1,M,15
9,1,8,2,M,16
9,2,8,2,M,15
10,1,3,2,M,16
10,2,4,4,M,15
11,1,0,6,M,16
11,2,8,3,M,15
12,1,5,9,M,16
12,2,3,1,M,15
13,1,8,5,M,16
13,2,1,1,M,15
14,1,8,6,M,16
14,2,1,8,M,15
15,1,0,2,M,16
15,2,5,3,H,14
16,1,8,0,M,16
16,2,1,6,H,13
17,1,7,5,M,16
17,2,5,6,M,13
18,1,7,1,M,16
18,2,5,5,M,13
19,1,2,4,M,16
19,2,1,5,H,12
20,1,4,5,H,15
20,2,9,7,M,12
21,1,8,4,H,14
21,2,3,4,M,12
22,1,9,9,M,14
22,2,8,0,M,12
23,1,8,3,H,13
23,2,3,3,H,11
24,1,9,6,M,13
24,2,2,6,M,11
25,1,4,4,M,13
25,2,9,5,M,11
26,1,3,5,H,12
26,2,9,6,M,11
27,1,7,6,M,12
27,2,2,0,M,11
28,1,0,5,M,12
28,2,5,1,M,11
29,1,5,2,M,12
29,2,3,5,M,11
30,1,6,4,M,12
30,2,4,0,M,11
31,1,2,5,H,11
31,2,6,9,H,10
32,1,1,0,H,10
32,2,0,7,M,10
33,1,5,3,H,9
33,2,9,0,M,10
34,1,1,6,M,9
34,2,1,2,M,10
35,1,3,4,M,9
35,2,6,1,M,10
36,1,7,3,H,8
36,2,1,4,H,9
37,1,3,0,H,7
37,2,3,8,M,9
38,1,2,1,M,7
38,2,2,3,M,9
39,1,8,9,M,7
39,2,3,2,M,9
40,1,7,7,M,7
40,2,2,5,M,9
41,1,0,4,M,7
41,2,7,1,M,9
42,1,4,8,M,7
42,2,6,4,M,9
43,1,3,6,M,7
43,2,1,9,M,9
44,1,2,7,M,7
44,2,1,7,M,9
45,1,8,7,M,7
45,2,6,3,M,9
46,1,8,8,M,7
46,2,7,0,M,9
47,1,1,7,M,7
47,2,4,2,M,9
48,1,9,4,H,6
48,2,0,6,M,9
49,1,7,0,M,6
49,2,6,7,M,9
50,1,1,4,M,6
50,2,5,2,M,9
51,1,7,9,M,6
51,2,0,1,M,9
52,1,6,2,M,6
52,2,0,3,M,9
53,1,4,1,M,6
53,2,3,7,M,9
54,1,1,3,H,5
54,2,6,8,H,8
55,1,1,9,M,5
55,2,7,2,M,8
56,1,0,8,M,5
56,2,5,0,M,8
57,1,3,1,M,5
57,2,8,7,M,8
58,1,2,9,M,5
58,2,0,4,M,8
59,1,3,9,M,5
59,2,5,7,M,8
60,1,6,5,M,5
60,2,5,4,M,8
61,1,4,0,M,5
61,2,8,8,M,8
62,1,6,8,M,5
62,2,9,8,M,8
63,1,1,2,M,5
63,2,3,0,M,8
64,1,1,1,M,5
64,2,2,2,M,8
65,1,6,7,M,5
65,2,9,1,M,8
66,1,2,2,M,5
66,2,7,9,M,8
67,1,9,8,M,5
67,2,2,9,M,8
68,1,6,9,M,5
68,2,8,1,M,8
69,1,6,3,H,4
69,2,9,2,M,8
70,1,0,7,M,4
70,2,2,4,M,8
71,1,2,8,M,4
71,2,8,4,H,7
72,1,9,2,M,4
72,2,0,0,M,7
73,1,3,8,M,4
73,2,4,7,H,6
74,1,7,2,M,4
74,2,9,3,M,6
75,1,5,5,H,3
75,2,0,2,M,6
76,1,3,3,H,2
76,2,4,9,H,5
77,1,7,8,M,2
77,2,4,5,H,4
78,1,6,1,M,2
78,2,7,5,M,4
79,1,2,3,H,1
79,2,4,1,M,4
80,1,2,6,M,1
80,2,9,4,H,3
81,1,4,3,M,1
81,2,2,7,M,3
82,1,6,6,M,1
82,2,1,3,H,2
83,1,4,6,M,1
83,2,7,7,M,2
84,1,9,3,H,0
84,2,4,6,H,1
85,1,5,1,M,0
85,2,5,8,M,1
86,1,5,4,M,0
86,2,9,9,M,1
87,1,4,7,M,0
87,2,2,8,M,1
88,1,9,0,M,0
88,2,6,0,M,1
89,1,3,7,M,0
89,2,3,6,M,1
90,1,4,2,M,0
90,2,6,2,M,1
91,1,0,3,M,0
91,2,8,5,M,1
92,1,4,9,M,0
92,2,8,6,M,1
93,1,1,8,M,0
93,2,0,9,M,1
94,1,1,5,M,0
94,2,7,6,M,1
95,1,7,4,M,0
95,2,7,3,M,1
96,1,5,8,M,0
96,2,7,4,H,0
