Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,H,16
1,2,3,9,H,16
2,1,6,1,M,16
2,2,2,0,H,15
3,1,2,8,M,16
3,2,3,7,M,15
4,1,4,3,M,16
4,2,4,1,M,15
5,1,1,2,M,16
5,2,4,9,H,14
6,1,0,4,M,16
6,2,8,6,M,14
7,1,5,9,H,15
7,2,3,4,H,13
8,1,6,2,M,15
8,2,1,8,M,13
9,1,1,3,M,15
9,2,8,4,M,13
10,1,0,9,M,15
10,2,9,1,H,12
11,1,5,7,M,15
11,2,8,8,M,12
12,1,0,5,M,15
12,2,1,2,M,12
13,1,5,0,M,15
13,2,6,0,M,12
14,1,7,5,H,14
14,2,8,3,M,12
15,1,0,2,M,14
15,2,2,1,H,11
16,1,1,6,H,13
16,2,5,9,H,10
17,1,0,6,M,13
17,2,5,2,M,10
18,1,6,3,M,13
18,2,7,5,M,10
19,1,2,5,M,13
19,2,6,7,M,10
20,1,8,1,M,13
20,2,8,1,H,9
21,1,7,7,M,13
21,2,7,2,M,9
22,1,7,6,M,13
22,2,2,5,M,9
23,1,9,4,M,13
23,2,0,3,M,9
24,1,4,1,M,13
24,2,6,3,M,9
25,1,3,8,M,13
25,2,4,6,M,9
26,1,3,3,M,13
26,2,2,8,M,9
27,1,9,3,M,13
27,2,6,1,H,8
28,1,3,1,M,13
28,2,5,0,M,8
29,1,1,1,M,13
29,2,2,7,M,8
30,1,1,0,M,13
30,2,1,4,M,8
31,1,3,9,M,13
31,2,4,7,M,8
32,1,8,6,M,13
32,2,5,6,M,8
33,1,3,2,M,13
33,2,3,3,M,8
34,1,6,7,M,13
34,2,3,8,M,8
35,1,7,9,H,12
35,2,0,2,M,8
36,1,9,5,H,11
36,2,3,0,M,8
37,1,4,4,M,11
37,2,6,4,M,8
38,1,4,2,M,11
38,2,1,3,M,8
39,1,4,5,M,11
39,2,8,2,M,8
40,1,7,3,M,11
40,2,5,1,M,8
41,1,3,0,M,11
41,2,1,7,M,8
42,1,2,0,M,11
42,2,0,7,M,8
43,1,2,4,M,11
43,2,7,9,M,8
44,1,9,8,M,11
44,2,1,0,M,8
45,1,4,0,M,11
45,2,7,7,M,8
46,1,0,3,M,11
46,2,6,8,M,8
47,1,5,5,M,11
47,2,7,4,M,8
48,1,9,6,M,11
48,2,7,6,M,8
49,1,6,4,H,10
49,2,8,5,M,8
50,1,7,2,M,10
50,2,4,4,H,7
51,1,7,8,M,10
51,2,0,4,M,7
52,1,4,9,H,9
52,2,8,9,M,7
53,1,6,0,M,9
53,2,4,0,M,7
54,1,5,4,H,8
54,2,4,3,M,7
55,1,2,3,M,8
55,2,6,6,M,7
56,1,2,7,M,8
56,2,6,9,M,7
57,1,0,0,M,8
57,2,9,5,M,7
58,1,3,6,M,8
58,2,2,3,M,7
59,1,1,8,H,7
59,2,3,2,M,7
60,1,5,2,M,7
60,2,9,0,M,7
61,1,2,2,M,7
61,2,1,5,M,7
62,1,8,8,M,7
62,2,2,6,M,7
63,1,3,5,M,7
63,2,6,2,M,7
64,1,8,9,H,6
64,2,9,3,M,7
65,1,9,1,M,6
65,2,0,5,M,7
66,1,4,6,M,6
66,2,9,7,H,6
67,1,9,9,M,6
67,2,4,8,M,6
68,1,7,1,M,6
68,2,9,6,H,5
69,1,1,4,M,6
69,2,7,8,M,5
70,1,0,7,M,6
70,2,7,0,M,5
71,1,2,9,M,6
71,2,1,1,M,5
72,1,1,5,M,6
72,2,4,5,M,5
73,1,6,6,M,6
73,2,7,1,H,4
74,1,5,3,M,6
74,2,0,9,M,4
75,1,8,5,H,5
75,2,9,4,M,4
76,1,9,7,M,5
76,2,2,9,H,3
77,1,5,6,M,5
77,2,7,3,M,3
78,1,7,4,H,4
78,2,4,2,M,3
79,1,4,8,M,4
79,2,9,9,M,3
80,1,0,1,M,4
80,2,5,3,M,3
81,1,8,7,M,4
81,2,9,8,M,3
82,1,3,7,M,4
82,2,5,7,M,3
83,1,8,3,M,4
83,2,9,2,M,3
84,1,6,5,M,4
84,2,6,5,M,3
85,1,8,2,M,4
85,2,0,6,M,3
86,1,8,0,H,3
86,2,1,6,M,3
87,1,6,9,H,2
87,2,3,5,M,3
88,1,0,8,M,2
88,2,3,6,M,3
89,1,9,2,M,2
89,2,5,4,H,2
90,1,5,8,M,2
90,2,8,0,M,2
91,1,6,8,M,2
91,2,3,1,M,2
92,1,8,4,M,2
92,2,1,9,H,1
93,1,4,7,M,2
93,2,0,8,M,1
94,1,3,4,M,2
94,2,0,1,M,1
95,1,2,1,M,2
95,2,2,2,H,0
96,1,2,6,M,2
96,2,5,8,M,0
97,1,9,0,H,1
97,2,0,0,M,0
98,1,7,0,M,1
98,2,5,5,M,0
99,1,1,9,H,0
99,2,8,7,M,0
