Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,2,M,17
1,2,4,2,M,17
2,1,4,4,M,17
2,2,8,7,M,17
3,1,1,8,M,17
3,2,8,2,M,17
4,1,2,6,M,17
4,2,8,8,M,17
5,1,8,3,M,17
5,2,6,9,M,17
6,1,3,9,M,17
6,2,3,2,M,17
7,1,5,6,M,17
7,2,1,3,H,16
8,1,9,7,M,17
8,2,7,8,M,16
9,1,6,4,M,17
9,2,6,2,M,16
10,1,8,5,M,17
10,2,3,0,M,16
11,1,5,4,M,17
11,2,5,4,M,16
12,1,4,2,M,17
12,2,9,2,M,16
13,1,8,1,M,17
13,2,2,0,M,16
14,1,6,3,M,17
14,2,3,8,M,16
15,1,4,7,M,17
15,2,4,4,M,16
16,1,2,7,M,17
16,2,2,1,M,16
17,1,1,5,M,17
17,2,9,4,H,15
18,1,5,3,H,16
18,2,0,3,M,15
19,1,8,8,M,16
19,2,1,4,M,15
20,1,0,4,M,16
20,2,2,2,M,15
21,1,1,1,M,16
21,2,2,8,H,14
22,1,6,2,M,16
22,2,5,3,M,14
23,1,0,5,M,16
23,2,4,6,M,14
24,1,9,6,M,16
24,2,6,4,H,13
25,1,5,2,M,16
25,2,4,7,M,13
26,1,9,2,M,16
26,2,7,4,H,12
27,1,5,1,M,16
27,2,7,6,M,12
28,1,1,4,M,16
28,2,7,7,M,12
29,1,4,6,M,16
29,2,8,1,H,11
30,1,1,6,M,16
30,2,6,5,H,10
31,1,9,0,H,15
31,2,6,6,H,9
32,1,9,4,M,15
32,2,6,0,M,9
33,1,1,7,M,15
33,2,0,8,M,9
34,1,3,1,M,15
34,2,7,3,M,9
35,1,3,2,M,15
35,2,8,0,H,8
36,1,0,8,M,15
36,2,3,6,M,8
37,1,4,3,H,14
37,2,9,7,M,8
38,1,1,3,H,13
38,2,9,8,M,8
39,1,3,5,H,12
39,2,6,7,H,7
40,1,4,0,M,12
40,2,3,1,M,7
41,1,6,1,M,12
41,2,0,0,M,7
42,1,0,0,M,12
42,2,9,1,M,7
43,1,0,2,M,12
43,2,1,2,M,7
44,1,7,0,M,12
44,2,4,0,M,7
45,1,6,9,H,11
45,2,9,5,M,7
46,1,8,6,M,11
46,2,8,6,M,7
47,1,5,0,M,11
47,2,3,4,M,7
48,1,2,0,M,11
48,2,5,9,M,7
49,1,4,8,H,10
49,2,3,9,M,7
50,1,7,7,M,10
50,2,7,1,M,7
51,1,2,9,M,10
51,2,0,4,M,7
52,1,7,8,M,10
52,2,4,9,M,7
53,1,4,1,M,10
53,2,9,0,M,7
54,1,6,6,M,10
54,2,4,8,M,7
55,1,0,7,M,10
55,2,3,7,M,7
56,1,8,0,M,10
56,2,3,5,M,7
57,1,8,2,M,10
57,2,2,6,H,6
58,1,2,2,M,10
58,2,7,0,M,6
59,1,2,5,M,10
59,2,5,7,M,6
60,1,5,9,H,9
60,2,4,5,M,6
61,1,1,9,M,9
61,2,2,4,M,6
62,1,3,0,M,9
62,2,2,3,H,5
63,1,8,9,M,9
63,2,2,5,H,4
64,1,3,8,H,8
64,2,1,9,M,4
65,1,0,3,M,8
65,2,0,9,M,4
66,1,2,1,M,8
66,2,0,7,M,4
67,1,9,9,M,8
67,2,1,6,M,4
68,1,3,3,H,7
68,2,7,5,M,4
69,1,7,9,H,6
69,2,6,3,M,4
70,1,6,0,M,6
70,2,1,7,M,4
71,1,2,8,M,6
71,2,0,2,M,4
72,1,8,7,M,6
72,2,8,4,H,3
73,1,0,6,M,6
73,2,5,0,M,3
74,1,8,4,M,6
74,2,5,2,M,3
75,1,2,3,H,5
75,2,5,8,M,3
76,1,9,5,M,5
76,2,9,9,M,3
77,1,9,1,H,4
77,2,4,1,M,3
78,1,0,1,M,4
78,2,4,3,M,3
79,1,7,2,M,4
79,2,9,6,M,3
80,1,4,5,M,4
80,2,2,7,H,2
81,1,7,3,M,4
81,2,0,1,M,2
82,1,4,9,M,4
82,2,6,1,M,2
83,1,6,5,M,4
83,2,5,1,M,2
84,1,7,6,M,4
84,2,7,2,M,2
85,1,1,0,M,4
85,2,3,3,H,1
86,1,0,9,M,4
86,2,0,5,M,1
87,1,9,3,M,4
87,2,1,5,M,1
88,1,6,8,H,3
88,2,8,5,M,1
89,1,5,5,M,3
89,2,8,3,M,1
90,1,3,6,H,2
90,2,9,3,M,1
91,1,9,8,M,2
91,2,5,5,M,1
92,1,5,8,H,1
92,2,7,9,M,1
93,1,5,7,M,1
93,2,0,6,M,1
94,1,3,4,H,0
94,2,5,6,M,1
95,1,7,4,M,0
95,2,8,9,M,1
96,1,3,7,M,0
96,2,6,8,M,1
97,1,2,4,M,0
97,2,1,8,M,1
98,1,7,1,M,0
98,2,1,0,M,1
99,1,7,5,M,0
99,2,1,1,M,1
100,1,6,7,M,0
100,2,2,9,H,0
