Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,0,M,17
1,2,5,6,M,17
2,1,8,4,H,16
2,2,9,7,M,17
3,1,4,3,M,16
3,2,1,1,M,17
4,1,3,7,M,16
4,2,8,4,M,17
5,1,0,3,M,16
5,2,9,2,M,17
6,1,8,6,M,16
6,2,3,8,M,17
7,1,2,7,M,16
7,2,7,2,M,17
8,1,9,9,H,15
8,2,7,4,M,17
9,1,8,0,M,15
9,2,8,2,M,17
10,1,1,3,M,15
10,2,1,3,M,17
11,1,5,2,H,14
11,2,6,6,M,17
12,1,9,3,M,14
12,2,9,4,M,17
13,1,4,9,H,13
13,2,0,0,M,17
14,1,2,4,M,13
14,2,3,9,M,17
15,1,3,2,M,13
15,2,5,9,M,17
16,1,9,5,M,13
16,2,9,6,M,17
17,1,1,9,M,13
17,2,1,7,M,17
18,1,1,8,M,13
18,2,3,1,H,16
19,1,8,2,H,12
19,2,3,5,M,16
20,1,1,7,M,12
20,2,1,6,M,16
21,1,7,6,M,12
21,2,0,5,M,16
22,1,0,2,M,12
22,2,7,1,H,15
23,1,0,4,M,12
23,2,4,7,H,14
24,1,3,3,M,12
24,2,9,1,H,13
25,1,8,8,M,12
25,2,6,5,H,12
26,1,0,0,M,12
26,2,5,3,M,12
27,1,2,1,M,12
27,2,7,0,M,12
28,1,5,5,M,12
28,2,6,2,H,11
29,1,6,4,H,11
29,2,1,5,M,11
30,1,6,7,H,10
30,2,4,1,M,11
31,1,6,0,M,10
31,2,2,5,M,11
32,1,4,7,M,10
32,2,8,3,M,11
33,1,3,6,M,10
33,2,0,9,M,11
34,1,4,8,M,10
34,2,2,7,M,11
35,1,1,5,M,10
35,2,6,7,M,11
36,1,6,1,M,10
36,2,7,5,H,10
37,1,9,1,M,10
37,2,4,8,H,9
38,1,5,7,M,10
38,2,6,3,M,9
39,1,9,6,M,10
39,2,8,6,M,9
40,1,4,1,M,10
40,2,2,9,M,9
41,1,5,3,M,10
41,2,4,9,H,8
42,1,2,6,M,10
42,2,0,1,M,8
43,1,3,1,M,10
43,2,8,7,M,8
44,1,4,5,M,10
44,2,5,1,M,8
45,1,2,5,M,10
45,2,7,9,M,8
46,1,9,0,M,10
46,2,5,5,M,8
47,1,5,8,M,10
47,2,5,8,M,8
48,1,3,8,M,10
48,2,6,4,M,8
49,1,0,7,M,10
49,2,7,8,M,8
50,1,7,5,M,10
50,2,0,3,M,8
51,1,3,0,M,10
51,2,8,5,H,7
52,1,1,1,M,10
52,2,0,4,M,7
53,1,1,4,M,10
53,2,2,0,M,7
54,1,6,5,H,9
54,2,6,0,M,7
55,1,8,9,H,8
55,2,3,6,M,7
56,1,6,8,M,8
56,2,4,0,M,7
57,1,6,6,H,7
57,2,3,0,H,6
58,1,8,3,H,6
58,2,7,3,M,6
59,1,1,6,M,6
59,2,4,6,H,5
60,1,5,9,H,5
60,2,5,4,M,5
61,1,1,2,M,5
61,2,8,8,M,5
62,1,5,6,M,5
62,2,5,7,M,5
63,1,5,4,M,5
63,2,0,6,M,5
64,1,4,4,M,5
64,2,8,9,M,5
65,1,9,4,M,5
65,2,5,0,M,5
66,1,3,4,M,5
66,2,4,2,M,5
67,1,8,1,M,5
67,2,2,8,M,5
68,1,7,9,H,4
68,2,0,2,M,5
69,1,4,6,M,4
69,2,2,6,M,5
70,1,4,2,H,3
70,2,4,3,M,5
71,1,7,0,M,3
71,2,9,3,M,5
72,1,9,7,M,3
72,2,2,4,M,5
73,1,6,2,H,2
73,2,9,5,M,5
74,1,7,7,M,2
74,2,9,9,M,5
75,1,9,2,M,2
75,2,9,8,M,5
76,1,7,3,M,2
76,2,3,3,H,4
77,1,2,2,M,2
77,2,7,6,M,4
78,1,5,0,M,2
78,2,1,0,M,4
79,1,8,5,M,2
79,2,0,7,M,4
80,1,4,0,M,2
80,2,3,2,H,3
81,1,7,2,M,2
81,2,2,3,M,3
82,1,3,5,M,2
82,2,4,4,M,3
83,1,7,8,M,2
83,2,6,9,M,3
84,1,6,3,H,1
84,2,4,5,H,2
85,1,6,9,H,0
85,2,5,2,M,2
86,1,0,1,M,0
86,2,6,1,H,1
87,1,9,8,M,0
87,2,3,7,M,1
88,1,7,1,M,0
88,2,2,1,M,1
89,1,7,4,M,0
89,2,8,1,H,0
