Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,6,M,17
1,2,2,4,H,16
2,1,2,8,M,17
2,2,9,5,H,15
3,1,1,3,M,17
3,2,3,9,M,15
4,1,2,3,M,17
4,2,9,0,M,15
5,1,2,2,M,17
5,2,1,9,M,15
6,1,5,5,M,17
6,2,7,2,M,15
7,1,2,1,H,16
7,2,5,2,M,15
8,1,6,2,M,16
8,2,0,6,M,15
9,1,0,2,M,16
9,2,9,3,M,15
10,1,2,6,M,16
10,2,8,1,M,15
11,1,8,7,H,15
11,2,5,8,M,15
12,1,3,4,M,15
12,2,7,3,M,15
13,1,7,2,H,14
13,2,3,6,M,15
14,1,0,1,H,13
14,2,5,7,M,15
15,1,8,2,M,13
15,2,2,7,H,14
16,1,4,7,M,13
16,2,3,8,M,14
17,1,4,1,M,13
17,2,4,2,M,14
18,1,4,2,M,13
18,2,7,9,M,14
19,1,9,3,M,13
19,2,6,9,M,14
20,1,3,0,M,13
20,2,0,1,M,14
21,1,0,0,M,13
21,2,4,8,M,14
22,1,4,6,M,13
22,2,0,7,M,14
23,1,0,7,M,13
23,2,0,3,M,14
24,1,7,7,M,13
24,2,6,3,M,14
25,1,9,8,M,13
25,2,8,3,M,14
26,1,7,9,M,13
26,2,5,5,H,13
27,1,8,5,H,12
27,2,3,0,H,12
28,1,0,3,M,12
28,2,1,4,M,12
29,1,0,4,M,12
29,2,1,5,M,12
30,1,2,7,M,12
30,2,9,8,M,12
31,1,7,5,M,12
31,2,7,6,M,12
32,1,1,8,M,12
32,2,5,6,H,11
33,1,6,9,M,12
33,2,8,0,M,11
34,1,3,8,H,11
34,2,0,2,M,11
35,1,5,7,M,11
35,2,9,9,M,11
36,1,4,0,M,11
36,2,6,1,M,11
37,1,8,3,M,11
37,2,8,7,M,11
38,1,1,6,M,11
38,2,2,8,M,11
39,1,1,9,M,11
39,2,0,9,M,11
40,1,8,8,H,10
40,2,1,6,M,11
41,1,8,6,H,9
41,2,9,6,H,10
42,1,7,6,M,9
42,2,4,3,M,10
43,1,1,4,M,9
43,2,4,5,M,10
44,1,0,5,M,9
44,2,7,0,M,10
45,1,5,9,M,9
45,2,5,3,M,10
46,1,6,8,H,8
46,2,4,4,H,9
47,1,4,3,M,8
47,2,5,0,H,8
48,1,6,7,M,8
48,2,7,8,M,8
49,1,3,9,M,8
49,2,0,5,M,8
50,1,7,3,H,7
50,2,6,2,M,8
51,1,3,5,M,7
51,2,3,2,M,8
52,1,5,1,M,7
52,2,8,4,M,8
53,1,6,5,M,7
53,2,9,1,M,8
54,1,3,2,M,7
54,2,7,7,M,8
55,1,1,2,M,7
55,2,2,6,H,7
56,1,1,5,M,7
56,2,2,0,M,7
57,1,7,0,M,7
57,2,2,3,M,7
58,1,6,6,M,7
58,2,1,8,M,7
59,1,3,1,M,7
59,2,2,5,H,6
60,1,1,7,M,7
60,2,9,4,M,6
61,1,5,4,H,6
61,2,2,1,M,6
62,1,1,0,M,6
62,2,8,2,M,6
63,1,5,6,M,6
63,2,9,7,H,5
64,1,8,1,M,6
64,2,2,9,M,5
65,1,2,9,M,6
65,2,1,0,M,5
66,1,3,6,M,6
66,2,4,9,M,5
67,1,8,4,M,6
67,2,3,5,M,5
68,1,5,2,M,6
68,2,1,3,M,5
69,1,4,8,H,5
69,2,6,8,M,5
70,1,5,8,H,4
70,2,5,1,M,5
71,1,3,3,M,4
71,2,1,1,M,5
72,1,9,6,M,4
72,2,2,2,M,5
73,1,7,8,H,3
73,2,7,1,M,5
74,1,9,2,M,3
74,2,8,6,M,5
75,1,7,1,H,2
75,2,5,9,M,5
76,1,4,5,M,2
76,2,3,4,H,4
77,1,9,9,M,2
77,2,3,7,M,4
78,1,8,0,M,2
78,2,3,1,M,4
79,1,3,7,M,2
79,2,0,4,M,4
80,1,2,0,M,2
80,2,5,4,H,3
81,1,9,5,M,2
81,2,6,4,H,2
82,1,9,7,M,2
82,2,1,7,M,2
83,1,6,3,M,2
83,2,7,5,M,2
84,1,5,0,M,2
84,2,4,1,M,2
85,1,9,0,M,2
85,2,3,3,M,2
86,1,6,1,M,2
86,2,9,2,M,2
87,1,5,3,H,1
87,2,8,9,M,2
88,1,4,4,M,1
88,2,1,2,M,2
89,1,0,8,M,1
89,2,8,5,M,2
90,1,1,1,H,0
90,2,0,8,M,2
91,1,8,9,M,0
91,2,4,7,M,2
92,1,4,9,M,0
92,2,6,5,M,2
93,1,2,4,M,0
93,2,8,8,M,2
94,1,9,4,M,0
94,2,6,0,M,2
95,1,6,0,M,0
95,2,6,6,M,2
96,1,7,4,M,0
96,2,4,0,H,1
97,1,9,1,M,0
97,2,6,7,M,1
98,1,6,4,M,0
98,2,0,0,M,1
99,1,2,5,M,0
99,2,4,6,M,1
100,1,0,9,M,0
100,2,7,4,H,0
