Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,2,H,16
1,2,4,6,M,17
2,1,6,6,M,16
2,2,5,3,M,17
3,1,9,7,M,16
3,2,5,7,H,16
4,1,0,9,M,16
4,2,5,8,M,16
5,1,1,7,M,16
5,2,7,7,M,16
6,1,2,0,M,16
6,2,4,9,M,16
7,1,9,1,H,15
7,2,8,7,M,16
8,1,2,7,M,15
8,2,2,8,M,16
9,1,7,1,H,14
9,2,8,6,M,16
10,1,8,5,H,13
10,2,6,1,H,15
11,1,7,2,M,13
11,2,1,6,M,15
12,1,1,0,M,13
12,2,8,2,M,15
13,1,5,1,H,12
13,2,3,0,M,15
14,1,5,6,M,12
14,2,6,3,M,15
15,1,7,4,M,12
15,2,4,7,M,15
16,1,2,8,H,11
16,2,3,5,M,15
17,1,3,9,M,11
17,2,6,6,M,15
18,1,8,1,H,10
18,2,9,8,M,15
19,1,0,7,M,10
19,2,1,2,M,15
20,1,8,9,M,10
20,2,3,9,M,15
21,1,4,5,M,10
21,2,5,6,M,15
22,1,0,0,M,10
22,2,1,4,M,15
23,1,9,0,M,10
23,2,0,4,M,15
24,1,3,3,M,10
24,2,2,4,M,15
25,1,6,2,M,10
25,2,9,0,M,15
26,1,8,3,M,10
26,2,1,1,M,15
27,1,4,6,M,10
27,2,0,2,M,15
28,1,6,5,H,9
28,2,2,3,H,14
29,1,8,8,M,9
29,2,5,5,M,14
30,1,9,8,M,9
30,2,3,3,H,13
31,1,9,3,M,9
31,2,9,6,M,13
32,1,1,1,M,9
32,2,9,5,M,13
33,1,6,4,M,9
33,2,7,0,M,13
34,1,2,6,M,9
34,2,2,6,M,13
35,1,2,2,M,9
35,2,5,2,M,13
36,1,9,5,H,8
36,2,7,1,H,12
37,1,1,4,M,8
37,2,8,5,M,12
38,1,8,0,M,8
38,2,2,2,M,12
39,1,3,2,M,8
39,2,4,5,M,12
40,1,5,0,M,8
40,2,7,9,H,11
41,1,1,8,H,7
41,2,5,0,M,11
42,1,8,2,M,7
42,2,6,7,H,10
43,1,4,8,H,6
43,2,4,3,M,10
44,1,4,0,M,6
44,2,0,6,M,10
45,1,7,9,M,6
45,2,1,7,H,9
46,1,4,3,M,6
46,2,3,8,M,9
47,1,5,4,H,5
47,2,8,9,H,8
48,1,4,4,M,5
48,2,4,1,M,8
49,1,7,5,H,4
49,2,7,3,M,8
50,1,3,5,M,4
50,2,4,0,M,8
51,1,2,4,M,4
51,2,0,8,M,8
52,1,4,9,M,4
52,2,8,1,H,7
53,1,1,3,M,4
53,2,3,4,M,7
54,1,5,5,H,3
54,2,1,0,M,7
55,1,0,3,M,3
55,2,5,9,H,6
56,1,9,2,M,3
56,2,4,8,M,6
57,1,1,6,M,3
57,2,4,2,M,6
58,1,9,9,M,3
58,2,2,0,M,6
59,1,2,3,M,3
59,2,0,5,M,6
60,1,6,1,M,3
60,2,6,9,H,5
61,1,0,6,M,3
61,2,2,9,M,5
62,1,7,7,M,3
62,2,8,8,M,5
63,1,5,8,H,2
63,2,4,4,M,5
64,1,5,9,M,2
64,2,3,6,M,5
65,1,0,1,M,2
65,2,1,9,H,4
66,1,6,7,M,2
66,2,3,1,M,4
67,1,1,2,M,2
67,2,6,0,M,4
68,1,4,2,M,2
68,2,0,0,M,4
69,1,8,7,M,2
69,2,7,2,M,4
70,1,2,5,M,2
70,2,6,4,M,4
71,1,6,9,M,2
71,2,1,8,H,3
72,1,5,3,H,1
72,2,2,5,M,3
73,1,6,0,M,1
73,2,7,6,M,3
74,1,9,6,M,1
74,2,8,3,M,3
75,1,3,6,M,1
75,2,9,9,H,2
76,1,7,8,M,1
76,2,5,4,M,2
77,1,8,6,M,1
77,2,2,7,M,2
78,1,7,6,M,1
78,2,7,5,M,2
79,1,6,8,M,1
79,2,9,7,M,2
80,1,7,0,M,1
80,2,6,2,M,2
81,1,3,7,M,1
81,2,2,1,M,2
82,1,9,4,M,1
82,2,9,2,M,2
83,1,6,3,M,1
83,2,9,3,M,2
84,1,5,7,M,1
84,2,0,1,M,2
85,1,7,3,M,1
85,2,1,5,M,2
86,1,3,4,M,1
86,2,7,4,M,2
87,1,3,8,H,0
87,2,6,8,M,2
88,1,3,0,M,0
88,2,9,4,M,2
89,1,0,5,M,0
89,2,9,1,H,1
90,1,0,8,M,0
90,2,0,9,M,1
91,1,0,4,M,0
91,2,0,3,M,1
92,1,1,5,M,0
92,2,3,7,M,1
93,1,4,1,M,0
93,2,6,5,M,1
94,1,4,7,M,0
94,2,8,0,M,1
95,1,1,9,M,0
95,2,3,2,M,1
96,1,8,4,M,0
96,2,8,4,M,1
97,1,0,2,M,0
97,2,5,1,M,1
98,1,2,1,M,0
98,2,0,7,M,1
99,1,3,1,M,0
99,2,7,8,M,1
100,1,2,9,M,0
100,2,1,3,H,0
