Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,2,M,17
1,2,0,5,M,17
2,1,8,0,M,17
2,2,9,5,M,17
3,1,5,7,M,17
3,2,3,2,M,17
4,1,3,4,M,17
4,2,6,4,H,16
5,1,0,3,M,17
5,2,6,0,M,16
6,1,8,3,H,16
6,2,0,8,H,15
7,1,4,0,H,15
7,2,1,9,M,15
8,1,1,7,M,15
8,2,8,1,M,15
9,1,6,8,M,15
9,2,8,7,M,15
10,1,7,9,M,15
10,2,8,9,M,15
11,1,1,9,M,15
11,2,5,1,M,15
12,1,1,5,M,15
12,2,4,1,H,14
13,1,5,4,M,15
13,2,0,9,H,13
14,1,2,7,M,15
14,2,3,0,M,13
15,1,6,4,M,15
15,2,3,3,M,13
16,1,6,3,H,14
16,2,4,4,M,13
17,1,0,6,M,14
17,2,4,9,M,13
18,1,4,4,M,14
18,2,8,4,M,13
19,1,7,1,M,14
19,2,1,3,M,13
20,1,8,1,H,13
20,2,0,2,M,13
21,1,3,9,M,13
21,2,2,7,M,13
22,1,2,5,M,13
22,2,0,4,M,13
23,1,4,2,M,13
23,2,6,5,H,12
24,1,4,8,M,13
24,2,6,1,H,11
25,1,5,9,M,13
25,2,3,6,M,11
26,1,5,8,M,13
26,2,4,2,M,11
27,1,4,5,M,13
27,2,2,8,M,11
28,1,7,0,M,13
28,2,3,4,M,11
29,1,9,5,M,13
29,2,8,3,M,11
30,1,0,2,M,13
30,2,0,7,H,10
31,1,9,6,M,13
31,2,7,5,M,10
32,1,2,9,M,13
32,2,7,1,M,10
33,1,1,4,M,13
33,2,4,5,M,10
34,1,9,9,M,13
34,2,1,1,M,10
35,1,8,2,H,12
35,2,5,2,M,10
36,1,0,9,M,12
36,2,5,5,M,10
37,1,8,6,M,12
37,2,1,2,M,10
38,1,5,0,H,11
38,2,4,8,M,10
39,1,7,7,H,10
39,2,3,5,M,10
40,1,4,3,H,9
40,2,2,1,H,9
41,1,9,4,M,9
41,2,2,4,H,8
42,1,0,5,M,9
42,2,9,7,M,8
43,1,1,8,M,9
43,2,5,9,M,8
44,1,8,5,M,9
44,2,2,9,M,8
45,1,3,6,M,9
45,2,3,7,M,8
46,1,0,0,H,8
46,2,2,5,H,7
47,1,1,1,M,8
47,2,0,6,M,7
48,1,5,1,M,8
48,2,2,0,M,7
49,1,2,8,M,8
49,2,9,2,M,7
50,1,6,2,M,8
50,2,6,3,H,6
51,1,6,9,M,8
51,2,7,9,M,6
52,1,3,3,H,7
52,2,5,7,M,6
53,1,7,4,M,7
53,2,6,2,H,5
54,1,8,9,M,7
54,2,1,4,H,4
55,1,5,6,M,7
55,2,3,1,H,3
56,1,3,5,M,7
56,2,2,2,H,2
57,1,6,7,M,7
57,2,8,6,M,2
58,1,6,1,M,7
58,2,5,8,M,2
59,1,7,3,M,7
59,2,0,0,M,2
60,1,7,6,M,7
60,2,8,5,M,2
61,1,4,7,M,7
61,2,7,4,M,2
62,1,8,8,M,7
62,2,7,0,M,2
63,1,0,8,M,7
63,2,9,8,M,2
64,1,9,8,M,7
64,2,9,6,M,2
65,1,0,7,M,7
65,2,9,4,M,2
66,1,7,2,M,7
66,2,4,0,M,2
67,1,3,2,M,7
67,2,0,1,M,2
68,1,2,3,M,7
68,2,6,6,M,2
69,1,2,1,M,7
69,2,7,2,M,2
70,1,5,3,H,6
70,2,6,8,M,2
71,1,7,5,M,6
71,2,8,0,M,2
72,1,1,3,M,6
72,2,2,3,H,1
73,1,6,5,M,6
73,2,5,0,M,1
74,1,9,1,M,6
74,2,8,8,M,1
75,1,4,9,M,6
75,2,5,4,M,1
76,1,2,0,H,5
76,2,4,7,M,1
77,1,0,4,M,5
77,2,8,2,M,1
78,1,3,0,H,4
78,2,9,9,M,1
79,1,1,0,H,3
79,2,2,6,M,1
80,1,7,8,M,3
80,2,7,6,M,1
81,1,4,6,M,3
81,2,9,1,M,1
82,1,6,0,M,3
82,2,1,7,M,1
83,1,9,2,M,3
83,2,6,9,M,1
84,1,0,1,H,2
84,2,9,0,M,1
85,1,5,5,M,2
85,2,1,6,M,1
86,1,1,6,M,2
86,2,3,8,M,1
87,1,6,6,M,2
87,2,5,3,M,1
88,1,2,6,M,2
88,2,3,9,M,1
89,1,8,7,H,1
89,2,5,6,M,1
90,1,1,2,M,1
90,2,0,3,M,1
91,1,9,0,M,1
91,2,4,6,M,1
92,1,3,8,M,1
92,2,6,7,M,1
93,1,3,1,M,1
93,2,1,0,M,1
94,1,9,7,H,0
94,2,7,8,M,1
95,1,9,3,M,0
95,2,7,7,M,1
96,1,2,4,M,0
96,2,1,8,M,1
97,1,5,2,M,0
97,2,9,3,M,1
98,1,8,4,M,0
98,2,7,3,M,1
99,1,4,1,M,0
99,2,4,3,M,1
100,1,3,7,M,0
100,2,1,5,H,0
