Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,6,M,17
1,2,3,2,H,16
2,1,6,8,M,17
2,2,2,2,M,16
3,1,7,6,M,17
3,2,3,3,M,16
4,1,8,3,M,17
4,2,4,2,H,15
5,1,3,6,M,17
5,2,3,1,M,15
6,1,5,9,M,17
6,2,4,3,M,15
7,1,2,4,M,17
7,2,5,2,H,14
8,1,8,7,H,16
8,2,5,1,M,14
9,1,8,4,M,16
9,2,4,1,M,14
10,1,9,1,M,16
10,2,5,3,M,14
11,1,3,3,M,16
11,2,6,2,M,14
12,1,8,5,M,16
12,2,2,9,M,14
13,1,2,0,M,16
13,2,4,8,M,14
14,1,0,9,M,16
14,2,6,1,M,14
15,1,7,9,M,16
15,2,1,2,H,13
16,1,7,7,H,15
16,2,0,2,H,12
17,1,2,5,M,15
17,2,1,1,H,11
18,1,9,5,M,15
18,2,0,3,H,10
19,1,4,0,H,14
19,2,0,4,M,10
20,1,0,7,M,14
20,2,1,3,H,9
21,1,2,7,M,14
21,2,0,1,H,8
22,1,2,1,H,13
22,2,2,1,M,8
23,1,5,3,M,13
23,2,1,4,H,7
24,1,9,0,M,13
24,2,1,0,M,7
25,1,5,7,H,12
25,2,1,5,H,6
26,1,1,2,M,12
26,2,0,0,M,6
27,1,7,3,M,12
27,2,0,5,M,6
28,1,9,6,M,12
28,2,1,6,M,6
29,1,6,0,H,11
29,2,2,4,M,6
30,1,3,1,H,10
30,2,2,5,M,6
31,1,1,5,M,10
31,2,2,3,M,6
32,1,3,5,M,10
32,2,9,3,M,6
33,1,2,2,M,10
33,2,6,9,M,6
34,1,1,7,M,10
34,2,6,8,M,6
35,1,4,7,H,9
35,2,8,8,M,6
36,1,2,6,H,8
36,2,8,2,M,6
37,1,5,6,M,8
37,2,6,7,M,6
38,1,1,1,M,8
38,2,3,7,M,6
39,1,6,2,M,8
39,2,2,0,M,6
40,1,5,5,M,8
40,2,1,8,M,6
41,1,2,9,M,8
41,2,8,1,M,6
42,1,7,4,M,8
42,2,8,3,M,6
43,1,6,7,H,7
43,2,4,7,M,6
44,1,7,5,M,7
44,2,5,0,M,6
45,1,0,8,M,7
45,2,8,0,M,6
46,1,2,8,M,7
46,2,9,1,M,6
47,1,2,3,M,7
47,2,0,6,M,6
48,1,6,5,M,7
48,2,5,4,M,6
49,1,3,2,M,7
49,2,6,4,M,6
50,1,4,9,M,7
50,2,8,4,M,6
51,1,8,2,M,7
51,2,7,3,M,6
52,1,0,1,M,7
52,2,4,4,M,6
53,1,5,4,M,7
53,2,7,5,M,6
54,1,4,5,M,7
54,2,4,6,M,6
55,1,3,8,H,6
55,2,4,5,M,6
56,1,3,0,M,6
56,2,3,4,M,6
57,1,6,9,M,6
57,2,6,0,M,6
58,1,4,1,M,6
58,2,7,8,H,5
59,1,0,4,M,6
59,2,7,7,H,4
60,1,6,3,M,6
60,2,7,6,H,3
61,1,0,2,M,6
61,2,7,9,H,2
62,1,1,4,M,6
62,2,8,6,M,2
63,1,8,0,M,6
63,2,8,7,M,2
64,1,4,3,M,6
64,2,8,9,M,2
65,1,3,7,M,6
65,2,6,6,M,2
66,1,7,2,M,6
66,2,2,8,M,2
67,1,9,7,M,6
67,2,3,9,M,2
68,1,1,0,M,6
68,2,5,6,M,2
69,1,1,8,M,6
69,2,7,0,M,2
70,1,0,3,M,6
70,2,9,4,M,2
71,1,1,6,H,5
71,2,9,2,M,2
72,1,6,6,M,5
72,2,2,7,H,1
73,1,3,9,M,5
73,2,2,6,H,0
74,1,4,4,M,5
74,2,1,7,M,0
75,1,5,0,H,4
75,2,3,6,M,0
76,1,7,1,M,4
76,2,3,0,M,0
77,1,9,3,M,4
77,2,5,7,M,0
78,1,8,1,M,4
78,2,9,8,M,0
79,1,9,9,M,4
79,2,7,2,M,0
80,1,8,9,M,4
80,2,3,5,M,0
81,1,7,8,M,4
81,2,5,5,M,0
82,1,3,4,M,4
82,2,0,8,M,0
83,1,0,6,H,3
83,2,9,9,M,0
84,1,1,9,M,3
84,2,3,8,M,0
85,1,9,4,M,3
85,2,9,0,M,0
86,1,8,8,M,3
86,2,4,0,M,0
87,1,5,2,M,3
87,2,9,5,M,0
88,1,7,0,H,2
88,2,5,8,M,0
89,1,6,4,M,2
89,2,9,6,M,0
90,1,5,1,M,2
90,2,7,1,M,0
91,1,9,2,M,2
91,2,1,9,M,0
92,1,6,1,M,2
92,2,9,7,M,0
93,1,0,0,M,2
93,2,8,5,M,0
94,1,4,6,M,2
94,2,4,9,M,0
95,1,5,8,H,1
95,2,5,9,M,0
96,1,4,8,H,0
96,2,6,5,M,0
