Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,4,M,17
1,2,2,0,H,16
2,1,9,3,M,17
2,2,2,1,M,16
3,1,0,3,M,17
3,2,3,0,H,15
4,1,4,2,H,16
4,2,4,0,M,15
5,1,0,4,M,16
5,2,1,0,H,14
6,1,2,2,M,16
6,2,1,1,M,14
7,1,5,5,M,16
7,2,0,0,M,14
8,1,1,5,M,16
8,2,3,1,M,14
9,1,0,0,M,16
9,2,9,5,M,14
10,1,6,1,M,16
10,2,6,8,M,14
11,1,6,3,M,16
11,2,7,7,M,14
12,1,0,7,M,16
12,2,7,6,M,14
13,1,5,1,M,16
13,2,0,5,H,13
14,1,8,6,M,16
14,2,0,4,H,12
15,1,1,2,M,16
15,2,0,3,M,12
16,1,1,4,M,16
16,2,0,6,H,11
17,1,8,7,M,16
17,2,1,5,M,11
18,1,9,0,M,16
18,2,1,6,M,11
19,1,0,8,M,16
19,2,1,4,M,11
20,1,7,0,M,16
20,2,0,7,M,11
21,1,0,2,M,16
21,2,2,9,H,10
22,1,1,1,M,16
22,2,1,9,M,10
23,1,7,8,H,15
23,2,3,9,M,10
24,1,7,5,H,14
24,2,2,8,H,9
25,1,5,6,M,14
25,2,3,8,M,9
26,1,1,7,M,14
26,2,1,8,M,9
27,1,1,8,M,14
27,2,2,7,H,8
28,1,3,9,H,13
28,2,1,7,M,8
29,1,9,1,M,13
29,2,3,7,M,8
30,1,6,5,H,12
30,2,2,6,H,7
31,1,8,0,M,12
31,2,2,5,H,6
32,1,2,8,M,12
32,2,3,5,M,6
33,1,9,6,M,12
33,2,3,6,M,6
34,1,4,4,H,11
34,2,2,4,M,6
35,1,2,6,M,11
35,2,8,7,M,6
36,1,3,5,M,11
36,2,7,1,M,6
37,1,4,9,H,10
37,2,5,4,M,6
38,1,8,1,M,10
38,2,8,2,M,6
39,1,3,3,M,10
39,2,4,1,H,5
40,1,3,6,M,10
40,2,4,2,H,4
41,1,7,2,M,10
41,2,4,3,H,3
42,1,5,7,H,9
42,2,5,3,H,2
43,1,2,9,M,9
43,2,5,1,M,2
44,1,7,6,M,9
44,2,3,2,M,2
45,1,0,1,M,9
45,2,6,3,H,1
46,1,4,0,M,9
46,2,3,3,M,1
47,1,8,8,M,9
47,2,6,4,M,1
48,1,6,8,M,9
48,2,4,4,M,1
49,1,8,2,M,9
49,2,5,2,M,1
50,1,5,0,M,9
50,2,7,3,H,0
51,1,4,1,H,8
51,2,7,4,M,0
52,1,3,7,H,7
52,2,7,2,M,0
53,1,2,4,M,7
53,2,6,2,M,0
54,1,0,6,M,7
54,2,8,3,M,0
55,1,6,2,M,7
55,2,6,7,M,0
56,1,6,7,M,7
56,2,8,5,M,0
57,1,7,4,M,7
57,2,9,9,M,0
58,1,2,1,M,7
58,2,5,8,M,0
59,1,5,2,M,7
59,2,9,7,M,0
60,1,2,7,M,7
60,2,6,1,M,0
61,1,3,4,M,7
61,2,7,0,M,0
62,1,4,7,H,6
62,2,9,8,M,0
63,1,4,5,M,6
63,2,8,1,M,0
64,1,6,6,M,6
64,2,5,0,M,0
65,1,8,9,M,6
65,2,0,2,M,0
66,1,1,6,M,6
66,2,6,6,M,0
67,1,8,3,M,6
67,2,5,5,M,0
68,1,6,4,M,6
68,2,4,5,M,0
69,1,2,3,M,6
69,2,9,6,M,0
70,1,9,5,M,6
70,2,9,2,M,0
71,1,8,5,H,5
71,2,9,4,M,0
72,1,9,7,M,5
72,2,1,2,M,0
73,1,0,5,M,5
73,2,4,6,M,0
74,1,3,0,M,5
74,2,9,1,M,0
75,1,9,2,M,5
75,2,5,7,M,0
76,1,1,3,M,5
76,2,2,3,M,0
77,1,5,8,M,5
77,2,0,1,M,0
78,1,1,0,M,5
78,2,6,5,M,0
79,1,4,6,M,5
79,2,4,7,M,0
80,1,3,8,M,5
80,2,7,5,M,0
81,1,7,3,M,5
81,2,5,9,M,0
82,1,4,8,M,5
82,2,4,9,M,0
83,1,1,9,M,5
83,2,6,0,M,0
84,1,6,9,H,4
84,2,3,4,M,0
85,1,3,2,M,4
85,2,4,8,M,0
86,1,7,9,H,3
86,2,9,3,M,0
87,1,2,0,M,3
87,2,6,9,M,0
88,1,9,8,M,3
88,2,8,8,M,0
89,1,9,4,M,3
89,2,7,8,M,0
90,1,5,3,M,3
90,2,8,4,M,0
91,1,6,0,M,3
91,2,1,3,M,0
92,1,9,9,M,3
92,2,0,9,M,0
93,1,3,1,M,3
93,2,0,8,M,0
94,1,5,4,M,3
94,2,8,9,M,0
95,1,7,7,H,2
95,2,9,0,M,0
96,1,5,9,H,1
96,2,2,2,M,0
97,1,2,5,M,1
97,2,7,9,M,0
98,1,4,3,H,0
98,2,8,0,M,0
