Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,M,17
1,2,1,1,M,17
2,1,7,2,M,17
2,2,9,9,M,17
3,1,5,5,M,17
3,2,6,4,H,16
4,1,0,8,M,17
4,2,6,5,M,16
5,1,5,2,M,17
5,2,7,4,H,15
6,1,9,1,M,17
6,2,6,3,M,15
7,1,1,3,H,16
7,2,5,4,H,14
8,1,8,4,H,15
8,2,8,4,H,13
9,1,7,9,M,15
9,2,7,5,M,13
10,1,6,1,M,15
10,2,5,5,H,12
11,1,4,6,M,15
11,2,8,3,M,12
12,1,5,0,M,15
12,2,4,5,M,12
13,1,0,5,M,15
13,2,5,3,M,12
14,1,7,0,H,14
14,2,5,6,H,11
15,1,0,9,M,14
15,2,6,6,M,11
16,1,6,5,M,14
16,2,4,4,M,11
17,1,6,6,M,14
17,2,4,6,M,11
18,1,3,3,H,13
18,2,5,7,H,10
19,1,1,6,M,13
19,2,9,4,M,10
20,1,3,1,M,13
20,2,4,7,M,10
21,1,9,4,H,12
21,2,8,5,M,10
22,1,2,3,H,11
22,2,5,8,M,10
23,1,2,1,M,11
23,2,7,3,M,10
24,1,2,5,M,11
24,2,6,7,M,10
25,1,3,9,M,11
25,2,1,2,M,10
26,1,0,6,M,11
26,2,3,7,M,10
27,1,1,5,M,11
27,2,6,0,M,10
28,1,8,0,H,10
28,2,0,5,M,10
29,1,8,9,M,10
29,2,5,2,M,10
30,1,8,8,H,9
30,2,4,1,M,10
31,1,8,1,M,9
31,2,8,0,M,10
32,1,5,6,M,9
32,2,9,6,M,10
33,1,2,2,M,9
33,2,0,6,M,10
34,1,0,2,H,8
34,2,3,6,M,10
35,1,4,7,M,8
35,2,7,1,H,9
36,1,0,4,M,8
36,2,8,1,H,8
37,1,5,7,M,8
37,2,7,2,M,8
38,1,7,7,M,8
38,2,8,2,M,8
39,1,8,3,M,8
39,2,9,1,H,7
40,1,5,4,M,8
40,2,9,2,M,7
41,1,6,4,M,8
41,2,7,0,M,7
42,1,2,8,M,8
42,2,9,0,M,7
43,1,1,9,M,8
43,2,6,1,H,6
44,1,7,8,H,7
44,2,6,2,M,6
45,1,6,7,M,7
45,2,5,1,H,5
46,1,9,2,M,7
46,2,5,0,M,5
47,1,3,0,M,7
47,2,1,9,M,5
48,1,0,3,H,6
48,2,0,0,M,5
49,1,8,2,M,6
49,2,3,3,M,5
50,1,3,7,M,6
50,2,9,8,M,5
51,1,3,4,M,6
51,2,2,6,M,5
52,1,2,6,M,6
52,2,0,7,M,5
53,1,4,8,M,6
53,2,2,8,M,5
54,1,6,0,H,5
54,2,3,8,M,5
55,1,9,8,M,5
55,2,2,2,M,5
56,1,1,8,M,5
56,2,0,1,M,5
57,1,1,2,M,5
57,2,6,8,M,5
58,1,0,7,M,5
58,2,3,4,M,5
59,1,2,4,M,5
59,2,0,3,M,5
60,1,7,1,M,5
60,2,2,0,M,5
61,1,8,7,M,5
61,2,2,9,M,5
62,1,7,6,M,5
62,2,4,8,M,5
63,1,2,7,M,5
63,2,0,8,H,4
64,1,9,3,M,5
64,2,1,8,H,3
65,1,9,9,M,5
65,2,1,7,M,3
66,1,3,2,M,5
66,2,0,9,M,3
67,1,6,8,M,5
67,2,2,1,M,3
68,1,7,4,H,4
68,2,4,0,M,3
69,1,2,9,M,4
69,2,1,3,H,2
70,1,9,6,M,4
70,2,1,4,H,1
71,1,4,5,M,4
71,2,1,5,H,0
72,1,2,0,M,4
72,2,2,3,M,0
73,1,4,2,M,4
73,2,2,4,M,0
74,1,0,1,H,3
74,2,0,4,M,0
75,1,0,0,H,2
75,2,1,6,M,0
76,1,6,9,M,2
76,2,2,5,M,0
77,1,6,2,M,2
77,2,3,2,M,0
78,1,5,9,M,2
78,2,3,9,M,0
79,1,7,5,M,2
79,2,8,8,M,0
80,1,9,0,H,1
80,2,0,2,M,0
81,1,1,1,M,1
81,2,9,3,M,0
82,1,3,8,M,1
82,2,4,2,M,0
83,1,4,1,M,1
83,2,7,7,M,0
84,1,4,0,M,1
84,2,7,8,M,0
85,1,4,3,H,0
85,2,8,7,M,0
