Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,5,M,17
1,2,0,1,M,17
2,1,1,6,M,17
2,2,8,3,M,17
3,1,9,7,M,17
3,2,7,4,M,17
4,1,2,9,M,17
4,2,0,8,M,17
5,1,8,8,M,17
5,2,1,8,H,16
6,1,8,2,M,17
6,2,1,9,M,16
7,1,1,3,M,17
7,2,2,8,M,16
8,1,0,9,M,17
8,2,1,7,H,15
9,1,2,8,M,17
9,2,0,7,M,15
10,1,8,5,M,17
10,2,1,6,H,14
11,1,5,0,M,17
11,2,1,5,H,13
12,1,9,1,M,17
12,2,2,5,M,13
13,1,1,4,M,17
13,2,0,6,M,13
14,1,4,1,M,17
14,2,2,6,M,13
15,1,6,2,M,17
15,2,2,7,M,13
16,1,0,1,M,17
16,2,1,4,M,13
17,1,9,8,M,17
17,2,0,5,M,13
18,1,2,1,M,17
18,2,2,1,M,13
19,1,5,4,H,16
19,2,3,9,M,13
20,1,1,0,H,15
20,2,9,3,M,13
21,1,5,1,H,14
21,2,8,0,M,13
22,1,0,3,M,14
22,2,3,0,M,13
23,1,3,3,M,14
23,2,6,8,M,13
24,1,2,5,H,13
24,2,5,3,M,13
25,1,3,4,M,13
25,2,5,4,M,13
26,1,7,1,M,13
26,2,3,6,M,13
27,1,0,0,M,13
27,2,0,0,M,13
28,1,7,9,M,13
28,2,9,6,M,13
29,1,1,9,M,13
29,2,4,9,H,12
30,1,8,4,M,13
30,2,4,8,H,11
31,1,4,4,M,13
31,2,5,9,M,11
32,1,5,8,M,13
32,2,3,8,M,11
33,1,7,8,M,13
33,2,5,8,M,11
34,1,0,2,M,13
34,2,4,7,M,11
35,1,1,5,H,12
35,2,9,5,M,11
36,1,8,3,M,12
36,2,2,4,M,11
37,1,5,2,H,11
37,2,9,0,M,11
38,1,6,1,M,11
38,2,5,2,M,11
39,1,7,4,M,11
39,2,7,1,M,11
40,1,6,6,M,11
40,2,5,0,M,11
41,1,9,5,M,11
41,2,6,3,H,10
42,1,4,3,M,11
42,2,6,2,H,9
43,1,1,7,H,10
43,2,6,1,H,8
44,1,4,8,M,10
44,2,5,1,M,8
45,1,4,7,M,10
45,2,7,3,M,8
46,1,7,5,M,10
46,2,6,4,H,7
47,1,3,2,M,10
47,2,6,5,M,7
48,1,3,6,M,10
48,2,7,2,M,7
49,1,9,4,M,10
49,2,6,0,H,6
50,1,8,6,M,10
50,2,7,0,M,6
51,1,6,0,M,10
51,2,4,0,M,6
52,1,6,4,M,10
52,2,4,4,H,5
53,1,1,2,H,9
53,2,3,4,M,5
54,1,3,7,M,9
54,2,4,5,M,5
55,1,2,3,M,9
55,2,4,3,H,4
56,1,9,9,M,9
56,2,4,2,H,3
57,1,9,3,M,9
57,2,3,3,M,3
58,1,5,5,H,8
58,2,4,1,M,3
59,1,0,5,M,8
59,2,3,2,M,3
60,1,7,2,M,8
60,2,3,5,M,3
61,1,8,9,M,8
61,2,9,7,M,3
62,1,5,3,H,7
62,2,7,7,M,3
63,1,4,2,M,7
63,2,8,5,M,3
64,1,6,8,H,6
64,2,1,0,H,2
65,1,4,0,M,6
65,2,2,0,M,2
66,1,2,2,M,6
66,2,1,1,H,1
67,1,9,2,M,6
67,2,1,2,H,0
68,1,8,7,M,6
68,2,1,3,M,0
69,1,2,0,M,6
69,2,2,2,M,0
70,1,4,5,H,5
70,2,0,2,M,0
71,1,0,6,M,5
71,2,6,9,M,0
72,1,7,3,M,5
72,2,6,6,M,0
73,1,5,9,M,5
73,2,3,7,M,0
74,1,6,3,M,5
74,2,4,6,M,0
75,1,2,7,H,4
75,2,7,9,M,0
76,1,6,7,H,3
76,2,2,3,M,0
77,1,6,9,H,2
77,2,9,9,M,0
78,1,3,5,H,1
78,2,6,7,M,0
79,1,5,7,M,1
79,2,7,5,M,0
80,1,8,0,M,1
80,2,0,4,M,0
81,1,1,8,M,1
81,2,5,6,M,0
82,1,4,9,M,1
82,2,9,2,M,0
83,1,9,6,M,1
83,2,8,9,M,0
84,1,2,4,M,1
84,2,8,2,M,0
85,1,7,0,M,1
85,2,8,4,M,0
86,1,3,1,M,1
86,2,7,8,M,0
87,1,2,6,M,1
87,2,7,6,M,0
88,1,0,4,M,1
88,2,9,8,M,0
89,1,5,6,M,1
89,2,8,6,M,0
90,1,3,9,M,1
90,2,8,7,M,0
91,1,3,0,M,1
91,2,5,5,M,0
92,1,7,6,M,1
92,2,0,9,M,0
93,1,8,1,M,1
93,2,5,7,M,0
94,1,3,8,M,1
94,2,9,4,M,0
95,1,4,6,M,1
95,2,2,9,M,0
96,1,0,7,M,1
96,2,8,8,M,0
97,1,1,1,H,0
97,2,3,1,M,0
