Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,3,M,17
1,2,3,1,M,17
2,1,3,8,M,17
2,2,2,7,M,17
3,1,6,1,M,17
3,2,1,0,M,17
4,1,8,8,M,17
4,2,9,6,M,17
5,1,0,9,M,17
5,2,9,9,H,16
6,1,2,1,M,17
6,2,8,9,H,15
7,1,8,1,M,17
7,2,9,8,M,15
8,1,4,9,H,16
8,2,7,9,M,15
9,1,9,0,M,16
9,2,8,8,H,14
10,1,2,9,H,15
10,2,7,8,M,14
11,1,3,3,M,15
11,2,8,7,H,13
12,1,4,1,M,15
12,2,9,7,M,13
13,1,0,8,M,15
13,2,7,7,M,13
14,1,1,5,H,14
14,2,8,6,H,12
15,1,8,0,M,14
15,2,8,5,H,11
16,1,4,5,M,14
16,2,8,4,H,10
17,1,9,4,M,14
17,2,7,4,M,10
18,1,6,3,M,14
18,2,7,6,M,10
19,1,0,0,M,14
19,2,9,4,M,10
20,1,7,6,M,14
20,2,7,5,M,10
21,1,9,1,M,14
21,2,9,5,M,10
22,1,1,3,H,13
22,2,8,3,M,10
23,1,1,8,M,13
23,2,3,5,M,10
24,1,2,0,M,13
24,2,3,8,M,10
25,1,7,9,M,13
25,2,2,4,M,10
26,1,7,1,M,13
26,2,4,2,M,10
27,1,2,7,M,13
27,2,2,6,M,10
28,1,3,4,M,13
28,2,6,1,M,10
29,1,2,2,M,13
29,2,3,7,M,10
30,1,1,1,H,12
30,2,4,8,M,10
31,1,9,9,M,12
31,2,5,7,M,10
32,1,5,9,H,11
32,2,0,6,M,10
33,1,9,3,M,11
33,2,0,9,M,10
34,1,3,5,M,11
34,2,8,2,M,10
35,1,2,4,M,11
35,2,1,3,M,10
36,1,8,5,M,11
36,2,1,9,M,10
37,1,1,6,H,10
37,2,4,7,M,10
38,1,7,4,M,10
38,2,1,5,M,10
39,1,2,5,M,10
39,2,6,7,M,10
40,1,5,1,H,9
40,2,1,7,M,10
41,1,2,8,M,9
41,2,7,2,M,10
42,1,6,5,M,9
42,2,5,3,M,10
43,1,7,3,M,9
43,2,3,4,M,10
44,1,5,7,M,9
44,2,4,0,H,9
45,1,3,6,M,9
45,2,3,0,M,9
46,1,8,2,M,9
46,2,4,1,M,9
47,1,8,9,M,9
47,2,5,0,H,8
48,1,6,4,M,9
48,2,6,0,H,7
49,1,0,1,H,8
49,2,7,0,H,6
50,1,8,7,M,8
50,2,8,0,M,6
51,1,9,2,M,8
51,2,5,1,M,6
52,1,0,4,M,8
52,2,7,1,H,5
53,1,8,6,M,8
53,2,8,1,H,4
54,1,7,5,M,8
54,2,9,1,H,3
55,1,3,9,H,7
55,2,9,0,M,3
56,1,9,6,M,7
56,2,9,2,M,3
57,1,7,0,M,7
57,2,0,2,M,3
58,1,3,1,M,7
58,2,0,0,M,3
59,1,3,2,M,7
59,2,3,9,M,3
60,1,2,3,M,7
60,2,1,4,M,3
61,1,1,7,H,6
61,2,5,5,M,3
62,1,5,4,M,6
62,2,6,8,M,3
63,1,3,7,M,6
63,2,1,6,M,3
64,1,4,7,M,6
64,2,4,3,M,3
65,1,4,4,M,6
65,2,9,3,M,3
66,1,9,5,M,6
66,2,4,5,M,3
67,1,7,8,M,6
67,2,0,1,M,3
68,1,0,5,M,6
68,2,6,2,M,3
69,1,8,3,M,6
69,2,2,3,M,3
70,1,4,0,M,6
70,2,6,6,M,3
71,1,3,0,M,6
71,2,1,8,M,3
72,1,1,9,M,6
72,2,3,3,M,3
73,1,1,2,H,5
73,2,2,2,M,3
74,1,1,4,H,4
74,2,5,2,M,3
75,1,2,6,M,4
75,2,0,3,M,3
76,1,8,4,M,4
76,2,1,1,M,3
77,1,1,0,H,3
77,2,5,8,M,3
78,1,6,2,M,3
78,2,5,9,M,3
79,1,0,3,H,2
79,2,2,0,M,3
80,1,0,7,M,2
80,2,0,7,M,3
81,1,6,6,M,2
81,2,5,6,M,3
82,1,4,2,M,2
82,2,0,4,M,3
83,1,0,2,H,1
83,2,1,2,M,3
84,1,7,7,M,1
84,2,2,1,M,3
85,1,9,7,M,1
85,2,2,9,M,3
86,1,4,6,M,1
86,2,6,3,H,2
87,1,6,9,M,1
87,2,6,4,H,1
88,1,9,8,M,1
88,2,6,5,H,0
89,1,5,5,M,1
89,2,7,3,M,0
90,1,4,3,M,1
90,2,5,4,M,0
91,1,5,2,M,1
91,2,0,8,M,0
92,1,6,8,M,1
92,2,2,8,M,0
93,1,5,0,H,0
93,2,2,5,M,0
