Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,7,3,M,17
2,1,8,3,M,17
2,2,4,7,M,17
3,1,0,4,M,17
3,2,9,7,M,17
4,1,6,5,M,17
4,2,8,9,M,17
5,1,8,5,M,17
5,2,1,3,M,17
6,1,0,6,M,17
6,2,5,8,M,17
7,1,7,9,M,17
7,2,4,8,M,17
8,1,7,8,M,17
8,2,2,5,M,17
9,1,9,1,M,17
9,2,8,5,M,17
10,1,8,8,M,17
10,2,8,4,M,17
11,1,3,7,M,17
11,2,2,3,H,16
12,1,5,0,M,17
12,2,2,4,M,16
13,1,8,1,H,16
13,2,2,2,M,16
14,1,1,7,M,16
14,2,3,3,H,15
15,1,5,8,M,16
15,2,4,3,H,14
16,1,4,4,M,16
16,2,3,2,M,14
17,1,4,8,M,16
17,2,4,4,M,14
18,1,3,3,H,15
18,2,3,4,M,14
19,1,2,8,M,15
19,2,5,3,M,14
20,1,7,1,M,15
20,2,4,2,M,14
21,1,1,2,M,15
21,2,4,9,M,14
22,1,9,9,M,15
22,2,2,8,M,14
23,1,5,1,M,15
23,2,1,4,M,14
24,1,2,9,M,15
24,2,1,1,M,14
25,1,2,0,M,15
25,2,1,9,M,14
26,1,4,9,M,15
26,2,2,7,M,14
27,1,9,3,M,15
27,2,0,0,M,14
28,1,2,1,H,14
28,2,4,1,M,14
29,1,1,8,M,14
29,2,8,2,H,13
30,1,5,2,M,14
30,2,7,2,M,13
31,1,2,3,M,14
31,2,9,2,H,12
32,1,6,4,M,14
32,2,8,1,H,11
33,1,7,6,M,14
33,2,8,3,M,11
34,1,9,4,M,14
34,2,7,1,M,11
35,1,2,2,H,13
35,2,9,3,H,10
36,1,7,0,M,13
36,2,9,4,M,10
37,1,9,7,M,13
37,2,9,1,H,9
38,1,1,5,M,13
38,2,9,0,H,8
39,1,0,8,M,13
39,2,8,0,M,8
40,1,8,6,M,13
40,2,1,2,M,8
41,1,3,2,H,12
41,2,0,1,M,8
42,1,0,0,M,12
42,2,3,0,M,8
43,1,1,3,M,12
43,2,1,0,M,8
44,1,4,6,M,12
44,2,7,9,M,8
45,1,6,0,M,12
45,2,6,5,H,7
46,1,3,9,M,12
46,2,6,4,H,6
47,1,8,9,M,12
47,2,7,5,M,6
48,1,0,1,H,11
48,2,6,6,H,5
49,1,3,4,H,10
49,2,6,7,H,4
50,1,9,5,M,10
50,2,7,7,M,4
51,1,1,6,M,10
51,2,6,8,M,4
52,1,5,7,M,10
52,2,7,6,M,4
53,1,6,6,M,10
53,2,5,7,M,4
54,1,7,3,M,10
54,2,6,3,H,3
55,1,4,2,H,9
55,2,5,4,M,3
56,1,8,0,M,9
56,2,7,4,M,3
57,1,3,6,H,8
57,2,5,6,M,3
58,1,3,1,H,7
58,2,6,2,M,3
59,1,6,2,M,7
59,2,5,5,M,3
60,1,1,0,M,7
60,2,5,0,H,2
61,1,3,5,H,6
61,2,5,1,M,2
62,1,0,2,M,6
62,2,4,0,M,2
63,1,7,2,M,6
63,2,6,0,H,1
64,1,6,7,M,6
64,2,7,0,H,0
65,1,9,0,M,6
65,2,6,1,M,0
66,1,9,2,M,6
66,2,3,9,M,0
67,1,4,7,M,6
67,2,2,6,M,0
68,1,7,7,M,6
68,2,9,8,M,0
69,1,9,6,M,6
69,2,3,7,M,0
70,1,5,6,M,6
70,2,4,6,M,0
71,1,8,2,H,5
71,2,8,7,M,0
72,1,6,3,H,4
72,2,5,2,M,0
73,1,7,5,M,4
73,2,9,5,M,0
74,1,1,9,M,4
74,2,8,8,M,0
75,1,8,4,M,4
75,2,0,5,M,0
76,1,0,7,M,4
76,2,0,6,M,0
77,1,3,8,M,4
77,2,0,2,M,0
78,1,1,1,H,3
78,2,6,9,M,0
79,1,5,9,M,3
79,2,0,3,M,0
80,1,9,8,M,3
80,2,5,9,M,0
81,1,7,4,M,3
81,2,4,5,M,0
82,1,6,8,M,3
82,2,1,8,M,0
83,1,2,5,M,3
83,2,3,5,M,0
84,1,2,6,M,3
84,2,0,4,M,0
85,1,0,5,M,3
85,2,0,9,M,0
86,1,6,9,M,3
86,2,3,8,M,0
87,1,6,1,M,3
87,2,9,9,M,0
88,1,2,4,M,3
88,2,2,1,M,0
89,1,4,3,H,2
89,2,1,5,M,0
90,1,0,3,M,2
90,2,1,6,M,0
91,1,5,3,H,1
91,2,3,6,M,0
92,1,4,0,M,1
92,2,1,7,M,0
93,1,5,4,M,1
93,2,7,8,M,0
94,1,2,7,M,1
94,2,2,0,M,0
95,1,8,7,M,1
95,2,3,1,M,0
96,1,1,4,M,1
96,2,0,8,M,0
97,1,3,0,M,1
97,2,9,6,M,0
98,1,4,5,M,1
98,2,2,9,M,0
99,1,4,1,H,0
99,2,0,7,M,0
