Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,4,6,H,16
2,1,0,6,M,17
2,2,4,5,H,15
3,1,4,4,M,17
3,2,5,5,M,15
4,1,6,0,M,17
4,2,4,4,H,14
5,1,4,7,M,17
5,2,5,6,M,14
6,1,2,7,M,17
6,2,3,5,M,14
7,1,9,7,M,17
7,2,3,4,M,14
8,1,7,2,M,17
8,2,4,7,H,13
9,1,4,1,M,17
9,2,3,7,M,13
10,1,9,6,M,17
10,2,4,8,M,13
11,1,6,8,M,17
11,2,5,7,M,13
12,1,2,2,M,17
12,2,5,4,M,13
13,1,7,6,H,16
13,2,3,6,M,13
14,1,0,3,M,16
14,2,4,3,H,12
15,1,8,3,H,15
15,2,5,3,M,12
16,1,9,8,M,15
16,2,4,2,M,12
17,1,1,2,M,15
17,2,3,3,M,12
18,1,6,6,M,15
18,2,8,1,M,12
19,1,5,0,M,15
19,2,1,1,M,12
20,1,6,4,M,15
20,2,6,3,M,12
21,1,3,2,M,15
21,2,0,6,M,12
22,1,1,9,M,15
22,2,6,5,M,12
23,1,3,6,M,15
23,2,0,7,M,12
24,1,8,9,M,15
24,2,8,0,M,12
25,1,4,8,M,15
25,2,8,4,M,12
26,1,4,6,M,15
26,2,6,0,M,12
27,1,8,6,H,14
27,2,0,5,M,12
28,1,3,8,H,13
28,2,2,1,M,12
29,1,3,7,M,13
29,2,9,7,M,12
30,1,9,3,M,13
30,2,3,1,M,12
31,1,7,4,M,13
31,2,9,3,M,12
32,1,3,9,M,13
32,2,2,2,M,12
33,1,7,1,M,13
33,2,9,5,H,11
34,1,2,6,M,13
34,2,8,5,M,11
35,1,8,4,H,12
35,2,9,4,M,11
36,1,2,5,M,12
36,2,9,6,H,10
37,1,8,2,H,11
37,2,8,6,M,10
38,1,9,2,M,11
38,2,7,4,H,9
39,1,6,3,H,10
39,2,7,3,H,8
40,1,8,1,M,10
40,2,7,5,H,7
41,1,7,5,M,10
41,2,8,3,M,7
42,1,0,7,M,10
42,2,6,4,M,7
43,1,1,8,H,9
43,2,7,6,M,7
44,1,1,4,M,9
44,2,7,2,M,7
45,1,2,0,M,9
45,2,0,0,M,7
46,1,3,1,M,9
46,2,1,7,M,7
47,1,5,3,H,8
47,2,2,9,M,7
48,1,0,0,M,8
48,2,5,8,M,7
49,1,8,7,M,8
49,2,7,9,M,7
50,1,0,2,M,8
50,2,2,5,M,7
51,1,8,5,H,7
51,2,0,1,H,6
52,1,4,9,M,7
52,2,0,2,H,5
53,1,9,0,M,7
53,2,1,2,M,5
54,1,2,8,H,6
54,2,0,3,H,4
55,1,6,2,H,5
55,2,0,4,M,4
56,1,2,1,M,5
56,2,1,3,M,4
57,1,9,1,M,5
57,2,1,6,M,4
58,1,7,0,M,5
58,2,4,9,H,3
59,1,5,9,M,5
59,2,5,9,H,2
60,1,2,3,M,5
60,2,3,9,H,1
61,1,5,8,M,5
61,2,6,9,H,0
62,1,3,0,M,5
62,2,3,8,M,0
63,1,5,1,M,5
63,2,6,8,M,0
64,1,1,5,M,5
64,2,1,9,M,0
65,1,0,9,M,5
65,2,5,0,M,0
66,1,6,9,M,5
66,2,4,0,M,0
67,1,7,9,H,4
67,2,6,1,M,0
68,1,4,0,M,4
68,2,2,7,M,0
69,1,2,4,M,4
69,2,3,0,M,0
70,1,4,5,M,4
70,2,6,7,M,0
71,1,0,5,M,4
71,2,2,4,M,0
72,1,1,3,M,4
72,2,8,9,M,0
73,1,8,8,M,4
73,2,2,0,M,0
74,1,5,6,M,4
74,2,7,8,M,0
75,1,9,5,M,4
75,2,0,8,M,0
76,1,4,3,M,4
76,2,9,0,M,0
77,1,7,8,H,3
77,2,2,3,M,0
78,1,2,9,M,3
78,2,6,6,M,0
79,1,5,7,M,3
79,2,1,8,M,0
80,1,9,4,M,3
80,2,8,8,M,0
81,1,8,0,M,3
81,2,3,2,M,0
82,1,0,4,M,3
82,2,9,1,M,0
83,1,1,0,M,3
83,2,0,9,M,0
84,1,3,4,M,3
84,2,6,2,M,0
85,1,3,3,M,3
85,2,1,5,M,0
86,1,9,9,M,3
86,2,7,0,M,0
87,1,1,7,M,3
87,2,9,9,M,0
88,1,0,8,M,3
88,2,2,8,M,0
89,1,6,1,H,2
89,2,7,7,M,0
90,1,6,7,M,2
90,2,2,6,M,0
91,1,3,5,M,2
91,2,9,8,M,0
92,1,0,1,M,2
92,2,9,2,M,0
93,1,7,7,H,1
93,2,1,4,M,0
94,1,5,5,M,1
94,2,8,7,M,0
95,1,1,6,M,1
95,2,8,2,M,0
96,1,5,2,H,0
96,2,4,1,M,0
