Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,5,H,16
1,2,0,1,M,17
2,1,6,5,M,16
2,2,0,4,M,17
3,1,5,5,M,16
3,2,7,3,M,17
4,1,8,1,M,16
4,2,0,8,M,17
5,1,4,1,M,16
5,2,5,1,H,16
6,1,2,3,H,15
6,2,6,1,H,15
7,1,5,8,M,15
7,2,6,0,M,15
8,1,4,7,M,15
8,2,5,2,M,15
9,1,1,9,H,14
9,2,5,0,H,14
10,1,6,8,M,14
10,2,6,2,M,14
11,1,0,0,M,14
11,2,4,1,H,13
12,1,3,8,M,14
12,2,7,1,M,13
13,1,5,1,M,14
13,2,3,1,H,12
14,1,9,5,M,14
14,2,3,2,M,12
15,1,8,0,M,14
15,2,4,0,H,11
16,1,2,4,M,14
16,2,2,1,M,11
17,1,3,2,M,14
17,2,3,0,H,10
18,1,8,9,M,14
18,2,2,0,M,10
19,1,4,3,M,14
19,2,4,2,M,10
20,1,7,6,M,14
20,2,0,9,M,10
21,1,1,2,M,14
21,2,8,2,M,10
22,1,0,2,M,14
22,2,9,7,M,10
23,1,1,7,H,13
23,2,1,3,M,10
24,1,1,0,H,12
24,2,4,4,H,9
25,1,0,9,M,12
25,2,4,5,H,8
26,1,2,6,H,11
26,2,3,4,M,8
27,1,0,8,M,11
27,2,4,6,H,7
28,1,6,0,M,11
28,2,3,6,M,7
29,1,4,4,M,11
29,2,4,7,M,7
30,1,1,4,M,11
30,2,4,3,H,6
31,1,1,8,H,10
31,2,5,5,M,6
32,1,7,5,M,10
32,2,5,6,H,5
33,1,5,9,M,10
33,2,5,4,M,5
34,1,7,0,M,10
34,2,5,7,M,5
35,1,3,5,M,10
35,2,3,3,M,5
36,1,9,2,M,10
36,2,3,5,M,5
37,1,1,5,M,10
37,2,6,6,H,4
38,1,8,6,M,10
38,2,7,6,H,3
39,1,9,0,M,10
39,2,8,6,H,2
40,1,9,8,M,10
40,2,5,3,M,2
41,1,2,8,H,9
41,2,8,5,M,2
42,1,6,7,M,9
42,2,7,7,M,2
43,1,8,8,M,9
43,2,9,6,M,2
44,1,9,1,M,9
44,2,6,5,M,2
45,1,0,3,M,9
45,2,8,7,M,2
46,1,1,6,H,8
46,2,6,7,H,1
47,1,9,4,M,8
47,2,7,5,M,1
48,1,0,6,M,8
48,2,6,8,H,0
49,1,6,6,M,8
49,2,7,8,M,0
50,1,3,1,M,8
50,2,6,9,M,0
51,1,5,2,M,8
51,2,5,8,M,0
52,1,5,6,M,8
52,2,2,2,M,0
53,1,6,9,M,8
53,2,7,2,M,0
54,1,3,6,M,8
54,2,9,4,M,0
55,1,5,7,M,8
55,2,0,5,M,0
56,1,1,3,M,8
56,2,3,7,M,0
57,1,6,4,M,8
57,2,2,6,M,0
58,1,7,4,M,8
58,2,9,5,M,0
59,1,9,3,M,8
59,2,7,4,M,0
60,1,4,6,M,8
60,2,8,0,M,0
61,1,4,9,M,8
61,2,1,6,M,0
62,1,5,3,M,8
62,2,6,4,M,0
63,1,2,2,H,7
63,2,9,9,M,0
64,1,7,8,M,7
64,2,4,9,M,0
65,1,3,4,M,7
65,2,8,8,M,0
66,1,1,1,H,6
66,2,0,6,M,0
67,1,4,2,M,6
67,2,2,9,M,0
68,1,0,7,M,6
68,2,1,4,M,0
69,1,8,7,M,6
69,2,9,1,M,0
70,1,4,5,M,6
70,2,9,2,M,0
71,1,2,9,H,5
71,2,1,0,M,0
72,1,0,1,M,5
72,2,8,1,M,0
73,1,3,0,H,4
73,2,2,3,M,0
74,1,8,2,M,4
74,2,2,5,M,0
75,1,7,1,M,4
75,2,0,2,M,0
76,1,6,2,M,4
76,2,6,3,M,0
77,1,9,6,M,4
77,2,1,7,M,0
78,1,3,3,M,4
78,2,1,5,M,0
79,1,7,7,M,4
79,2,8,9,M,0
80,1,4,0,H,3
80,2,2,4,M,0
81,1,2,1,H,2
81,2,1,8,M,0
82,1,2,0,M,2
82,2,1,1,M,0
83,1,6,1,M,2
83,2,8,4,M,0
84,1,2,7,H,1
84,2,4,8,M,0
85,1,8,3,M,1
85,2,0,3,M,0
86,1,7,3,M,1
86,2,0,0,M,0
87,1,3,7,M,1
87,2,1,9,M,0
88,1,0,5,M,1
88,2,3,8,M,0
89,1,9,7,M,1
89,2,9,8,M,0
90,1,8,4,M,1
90,2,7,0,M,0
91,1,5,4,M,1
91,2,3,9,M,0
92,1,9,9,M,1
92,2,1,2,M,0
93,1,4,8,M,1
93,2,2,8,M,0
94,1,3,9,M,1
94,2,2,7,M,0
95,1,5,0,H,0
95,2,8,3,M,0
