Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,1,M,17
1,2,2,3,H,16
2,1,9,0,M,17
2,2,2,2,H,15
3,1,0,6,M,17
3,2,1,3,H,14
4,1,9,2,M,17
4,2,2,4,H,13
5,1,2,4,M,17
5,2,3,3,M,13
6,1,3,6,H,16
6,2,2,5,H,12
7,1,5,1,H,15
7,2,3,2,H,11
8,1,7,5,M,15
8,2,1,2,M,11
9,1,4,4,M,15
9,2,1,4,H,10
10,1,9,3,H,14
10,2,3,1,M,10
11,1,8,6,M,14
11,2,2,6,H,9
12,1,6,6,M,14
12,2,4,2,H,8
13,1,2,3,M,14
13,2,0,4,H,7
14,1,9,9,M,14
14,2,3,5,M,7
15,1,6,3,H,13
15,2,1,6,H,6
16,1,6,4,M,13
16,2,3,6,M,6
17,1,5,2,M,13
17,2,1,5,H,5
18,1,8,5,M,13
18,2,2,7,M,5
19,1,0,5,M,13
19,2,4,3,M,5
20,1,1,7,M,13
20,2,0,3,M,5
21,1,0,0,M,13
21,2,0,5,H,4
22,1,4,8,M,13
22,2,2,1,M,4
23,1,7,3,H,12
23,2,4,1,M,4
24,1,9,8,M,12
24,2,1,7,M,4
25,1,8,3,H,11
25,2,3,4,M,4
26,1,4,1,M,11
26,2,0,6,H,3
27,1,1,6,M,11
27,2,5,2,H,2
28,1,9,7,M,11
28,2,5,1,M,2
29,1,4,5,M,11
29,2,6,2,H,1
30,1,1,8,M,11
30,2,0,7,M,1
31,1,1,0,M,11
31,2,6,1,H,0
32,1,6,7,M,11
32,2,7,1,M,0
33,1,7,8,M,11
33,2,6,3,M,0
34,1,0,9,M,11
34,2,7,2,M,0
35,1,2,6,M,11
35,2,6,0,M,0
36,1,5,0,H,10
36,2,5,3,M,0
37,1,5,4,M,10
37,2,9,0,M,0
38,1,5,6,M,10
38,2,8,5,M,0
39,1,3,3,M,10
39,2,6,7,M,0
40,1,9,4,M,10
40,2,2,8,M,0
41,1,1,4,M,10
41,2,8,2,M,0
42,1,6,2,M,10
42,2,9,2,M,0
43,1,3,8,H,9
43,2,0,0,M,0
44,1,0,7,M,9
44,2,6,6,M,0
45,1,2,8,M,9
45,2,0,2,M,0
46,1,5,9,H,8
46,2,0,8,M,0
47,1,1,9,M,8
47,2,8,8,M,0
48,1,4,2,M,8
48,2,2,0,M,0
49,1,0,4,M,8
49,2,7,6,M,0
50,1,7,4,M,8
50,2,3,0,M,0
51,1,3,0,M,8
51,2,8,4,M,0
52,1,2,0,M,8
52,2,0,9,M,0
53,1,1,2,M,8
53,2,7,9,M,0
54,1,7,9,H,7
54,2,9,6,M,0
55,1,4,9,H,6
55,2,3,9,M,0
56,1,9,1,M,6
56,2,5,0,M,0
57,1,2,1,M,6
57,2,3,7,M,0
58,1,2,9,M,6
58,2,7,5,M,0
59,1,1,3,M,6
59,2,4,8,M,0
60,1,9,6,M,6
60,2,2,9,M,0
61,1,2,5,M,6
61,2,0,1,M,0
62,1,6,8,M,6
62,2,5,5,M,0
63,1,5,8,M,6
63,2,1,8,M,0
64,1,3,4,M,6
64,2,9,7,M,0
65,1,0,3,M,6
65,2,9,8,M,0
66,1,7,7,M,6
66,2,6,8,M,0
67,1,8,9,M,6
67,2,8,6,M,0
68,1,5,5,M,6
68,2,1,1,M,0
69,1,4,7,M,6
69,2,4,5,M,0
70,1,0,1,M,6
70,2,9,9,M,0
71,1,7,2,M,6
71,2,7,4,M,0
72,1,7,1,M,6
72,2,1,0,M,0
73,1,4,0,M,6
73,2,4,9,M,0
74,1,4,3,M,6
74,2,5,7,M,0
75,1,3,9,M,6
75,2,7,8,M,0
76,1,0,2,M,6
76,2,8,9,M,0
77,1,1,5,M,6
77,2,6,5,M,0
78,1,6,5,M,6
78,2,9,1,M,0
79,1,2,7,M,6
79,2,8,0,M,0
80,1,0,8,M,6
80,2,6,4,M,0
81,1,5,3,H,5
81,2,6,9,M,0
82,1,6,1,H,4
82,2,8,3,M,0
83,1,3,2,M,4
83,2,4,7,M,0
84,1,8,7,M,4
84,2,8,1,M,0
85,1,6,9,H,3
85,2,4,4,M,0
86,1,5,7,M,3
86,2,7,3,M,0
87,1,8,0,M,3
87,2,5,4,M,0
88,1,8,8,M,3
88,2,4,6,M,0
89,1,3,7,H,2
89,2,9,3,M,0
90,1,6,0,H,1
90,2,4,0,M,0
91,1,7,0,H,0
91,2,9,5,M,0
