Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,9,M,17
1,2,6,8,M,17
2,1,9,9,M,17
2,2,9,6,M,17
3,1,2,6,H,16
3,2,4,0,M,17
4,1,5,4,M,16
4,2,0,2,M,17
5,1,1,1,M,16
5,2,3,7,M,17
6,1,0,4,M,16
6,2,9,1,M,17
7,1,2,3,M,16
7,2,3,3,M,17
8,1,6,5,H,15
8,2,7,6,M,17
9,1,3,3,M,15
9,2,3,1,M,17
10,1,0,9,M,15
10,2,7,7,M,17
11,1,2,0,M,15
11,2,2,9,M,17
12,1,7,2,M,15
12,2,2,7,M,17
13,1,3,8,H,14
13,2,9,4,H,16
14,1,7,7,M,14
14,2,9,3,H,15
15,1,8,6,M,14
15,2,9,2,H,14
16,1,5,7,M,14
16,2,8,4,M,14
17,1,4,5,H,13
17,2,8,3,M,14
18,1,6,6,M,13
18,2,8,2,M,14
19,1,9,1,M,13
19,2,9,5,M,14
20,1,3,4,M,13
20,2,1,1,M,14
21,1,7,0,M,13
21,2,5,8,M,14
22,1,7,5,H,12
22,2,5,4,M,14
23,1,8,4,M,12
23,2,4,1,M,14
24,1,8,8,M,12
24,2,6,0,M,14
25,1,2,5,M,12
25,2,5,7,M,14
26,1,7,4,M,12
26,2,8,8,M,14
27,1,5,3,M,12
27,2,7,0,M,14
28,1,1,6,H,11
28,2,8,1,M,14
29,1,4,6,M,11
29,2,7,1,M,14
30,1,9,7,H,10
30,2,0,5,M,14
31,1,3,5,M,10
31,2,3,4,H,13
32,1,8,1,M,10
32,2,2,4,H,12
33,1,2,9,M,10
33,2,2,3,M,12
34,1,4,2,M,10
34,2,3,5,M,12
35,1,8,0,M,10
35,2,4,4,M,12
36,1,2,8,H,9
36,2,2,5,M,12
37,1,3,1,M,9
37,2,1,4,H,11
38,1,9,6,H,8
38,2,1,3,M,11
39,1,8,5,M,8
39,2,1,5,H,10
40,1,3,2,H,7
40,2,1,6,H,9
41,1,6,2,M,7
41,2,2,6,M,9
42,1,0,1,M,7
42,2,1,7,M,9
43,1,3,7,M,7
43,2,0,6,M,9
44,1,1,8,H,6
44,2,0,4,H,8
45,1,3,9,M,6
45,2,0,3,M,8
46,1,3,6,M,6
46,2,6,5,H,7
47,1,9,8,M,6
47,2,5,5,M,7
48,1,1,3,M,6
48,2,6,4,H,6
49,1,6,4,M,6
49,2,7,5,M,6
50,1,2,1,M,6
50,2,6,6,M,6
51,1,5,0,M,6
51,2,7,4,M,6
52,1,6,3,M,6
52,2,6,3,H,5
53,1,6,1,M,6
53,2,5,3,M,5
54,1,6,7,M,6
54,2,6,2,M,5
55,1,7,8,M,6
55,2,7,3,M,5
56,1,9,0,M,6
56,2,5,6,M,5
57,1,0,5,M,6
57,2,6,9,M,5
58,1,8,3,M,6
58,2,2,2,M,5
59,1,1,7,M,6
59,2,0,9,M,5
60,1,8,7,M,6
60,2,0,8,M,5
61,1,5,6,M,6
61,2,8,0,M,5
62,1,4,9,M,6
62,2,8,6,M,5
63,1,9,2,M,6
63,2,9,0,M,5
64,1,4,1,M,6
64,2,4,5,H,4
65,1,5,8,H,5
65,2,4,6,H,3
66,1,2,2,H,4
66,2,3,6,M,3
67,1,5,2,M,4
67,2,4,7,H,2
68,1,5,1,M,4
68,2,4,8,H,1
69,1,6,0,M,4
69,2,3,8,M,1
70,1,4,3,M,4
70,2,4,9,H,0
71,1,1,4,M,4
71,2,5,9,M,0
72,1,0,2,M,4
72,2,3,9,M,0
73,1,1,5,M,4
73,2,8,7,M,0
74,1,4,0,M,4
74,2,0,0,M,0
75,1,7,6,M,4
75,2,0,7,M,0
76,1,0,8,M,4
76,2,5,2,M,0
77,1,1,9,M,4
77,2,8,5,M,0
78,1,7,1,M,4
78,2,1,0,M,0
79,1,0,7,M,4
79,2,6,1,M,0
80,1,5,9,M,4
80,2,0,1,M,0
81,1,7,9,M,4
81,2,1,2,M,0
82,1,0,3,M,4
82,2,7,8,M,0
83,1,6,9,M,4
83,2,4,3,M,0
84,1,0,0,M,4
84,2,1,8,M,0
85,1,0,6,M,4
85,2,3,2,M,0
86,1,6,8,M,4
86,2,2,0,M,0
87,1,2,4,M,4
87,2,9,8,M,0
88,1,4,7,M,4
88,2,1,9,M,0
89,1,3,0,M,4
89,2,5,0,M,0
90,1,8,2,M,4
90,2,6,7,M,0
91,1,7,3,M,4
91,2,7,9,M,0
92,1,1,0,M,4
92,2,9,9,M,0
93,1,1,2,H,3
93,2,9,7,M,0
94,1,5,5,H,2
94,2,7,2,M,0
95,1,9,4,M,2
95,2,8,9,M,0
96,1,4,4,M,2
96,2,3,0,M,0
97,1,4,8,H,1
97,2,4,2,M,0
98,1,9,3,M,1
98,2,2,1,M,0
99,1,9,5,H,0
99,2,5,1,M,0
