Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,3,H,16
1,2,1,9,M,17
2,1,5,1,M,16
2,2,4,5,M,17
3,1,1,3,M,16
3,2,8,1,H,16
4,1,2,5,M,16
4,2,8,0,M,16
5,1,6,7,H,15
5,2,8,2,H,15
6,1,1,8,M,15
6,2,7,2,M,15
7,1,0,8,M,15
7,2,7,1,M,15
8,1,5,3,H,14
8,2,9,2,M,15
9,1,8,6,H,13
9,2,9,1,M,15
10,1,4,7,H,12
10,2,8,3,H,14
11,1,4,9,M,12
11,2,9,3,M,14
12,1,6,3,M,12
12,2,7,3,M,14
13,1,9,4,M,12
13,2,8,4,H,13
14,1,8,9,H,11
14,2,9,4,M,13
15,1,0,6,M,11
15,2,7,4,M,13
16,1,3,0,H,10
16,2,8,5,H,12
17,1,9,9,M,10
17,2,8,6,M,12
18,1,8,8,H,9
18,2,7,5,M,12
19,1,1,9,M,9
19,2,9,5,M,12
20,1,4,5,M,9
20,2,1,4,H,11
21,1,9,2,M,9
21,2,2,4,M,11
22,1,7,4,M,9
22,2,1,3,M,11
23,1,7,3,M,9
23,2,1,5,H,10
24,1,9,3,M,9
24,2,1,6,H,9
25,1,1,5,M,9
25,2,0,5,M,9
26,1,1,6,M,9
26,2,0,4,M,9
27,1,3,7,H,8
27,2,1,7,M,9
28,1,2,4,M,8
28,2,0,6,M,9
29,1,2,8,M,8
29,2,2,6,H,8
30,1,6,6,M,8
30,2,2,7,M,8
31,1,5,9,M,8
31,2,3,6,H,7
32,1,9,6,M,8
32,2,3,7,M,7
33,1,9,8,M,8
33,2,3,5,M,7
34,1,8,2,H,7
34,2,2,5,M,7
35,1,8,4,M,7
35,2,4,6,M,7
36,1,1,7,M,7
36,2,9,0,M,7
37,1,6,4,M,7
37,2,8,9,M,7
38,1,9,5,M,7
38,2,6,1,M,7
39,1,1,2,M,7
39,2,2,3,M,7
40,1,6,0,M,7
40,2,6,2,M,7
41,1,5,5,M,7
41,2,0,3,M,7
42,1,6,5,M,7
42,2,1,2,M,7
43,1,2,9,M,7
43,2,6,6,M,7
44,1,3,5,M,7
44,2,8,7,M,7
45,1,5,2,M,7
45,2,5,5,H,6
46,1,7,1,M,7
46,2,5,6,H,5
47,1,7,8,M,7
47,2,5,4,H,4
48,1,9,1,M,7
48,2,6,5,M,4
49,1,5,6,M,7
49,2,6,4,M,4
50,1,7,2,M,7
50,2,5,3,M,4
51,1,0,2,M,7
51,2,5,7,H,3
52,1,8,0,M,7
52,2,6,7,M,3
53,1,1,0,H,6
53,2,4,7,M,3
54,1,5,0,M,6
54,2,4,4,M,3
55,1,9,0,M,6
55,2,5,8,M,3
56,1,4,8,M,6
56,2,3,2,M,3
57,1,4,2,M,6
57,2,7,8,M,3
58,1,2,1,M,6
58,2,9,9,M,3
59,1,4,4,M,6
59,2,7,9,M,3
60,1,4,0,M,6
60,2,6,8,M,3
61,1,6,1,M,6
61,2,2,1,H,2
62,1,0,1,M,6
62,2,3,1,M,2
63,1,7,9,M,6
63,2,2,2,H,1
64,1,1,4,M,6
64,2,2,0,H,0
65,1,0,7,M,6
65,2,1,0,M,0
66,1,8,3,H,5
66,2,1,1,M,0
67,1,6,2,M,5
67,2,3,0,M,0
68,1,3,3,M,5
68,2,6,3,M,0
69,1,9,7,M,5
69,2,4,2,M,0
70,1,3,6,M,5
70,2,3,3,M,0
71,1,4,1,M,5
71,2,2,9,M,0
72,1,3,8,M,5
72,2,5,1,M,0
73,1,7,7,M,5
73,2,4,0,M,0
74,1,4,6,M,5
74,2,5,0,M,0
75,1,5,4,M,5
75,2,0,0,M,0
76,1,2,6,M,5
76,2,4,1,M,0
77,1,0,5,M,5
77,2,4,9,M,0
78,1,6,9,M,5
78,2,7,0,M,0
79,1,2,7,M,5
79,2,0,9,M,0
80,1,3,2,M,5
80,2,9,6,M,0
81,1,3,4,M,5
81,2,5,2,M,0
82,1,3,1,M,5
82,2,8,8,M,0
83,1,5,8,M,5
83,2,1,8,M,0
84,1,5,7,H,4
84,2,7,7,M,0
85,1,8,5,H,3
85,2,6,9,M,0
86,1,6,8,M,3
86,2,0,1,M,0
87,1,8,1,H,2
87,2,3,4,M,0
88,1,7,0,M,2
88,2,3,9,M,0
89,1,0,0,M,2
89,2,7,6,M,0
90,1,1,1,M,2
90,2,0,2,M,0
91,1,7,5,M,2
91,2,4,3,M,0
92,1,7,6,M,2
92,2,3,8,M,0
93,1,3,9,M,2
93,2,4,8,M,0
94,1,2,0,H,1
94,2,6,0,M,0
95,1,8,7,H,0
95,2,9,8,M,0
