Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,5,3,M,17
2,1,7,2,M,17
2,2,5,8,M,17
3,1,9,5,M,17
3,2,1,5,H,16
4,1,1,3,M,17
4,2,1,4,M,16
5,1,2,3,M,17
5,2,0,5,M,16
6,1,2,2,H,16
6,2,2,5,M,16
7,1,3,6,M,16
7,2,1,6,H,15
8,1,8,1,M,16
8,2,1,7,M,15
9,1,8,3,M,16
9,2,2,6,M,15
10,1,3,1,M,16
10,2,0,6,M,15
11,1,7,9,M,16
11,2,3,8,H,14
12,1,3,9,M,16
12,2,4,8,M,14
13,1,3,0,M,16
13,2,3,9,M,14
14,1,9,7,M,16
14,2,2,8,M,14
15,1,1,5,H,15
15,2,3,7,H,13
16,1,8,5,M,15
16,2,4,7,M,13
17,1,0,1,M,15
17,2,3,6,H,12
18,1,2,7,M,15
18,2,4,6,M,12
19,1,6,6,M,15
19,2,2,7,M,12
20,1,0,2,M,15
20,2,3,5,M,12
21,1,4,5,M,15
21,2,9,0,M,12
22,1,4,9,M,15
22,2,5,4,M,12
23,1,1,6,H,14
23,2,0,1,M,12
24,1,5,0,M,14
24,2,1,2,M,12
25,1,4,0,M,14
25,2,2,9,M,12
26,1,1,2,M,14
26,2,0,9,M,12
27,1,5,7,M,14
27,2,9,3,M,12
28,1,1,9,M,14
28,2,9,4,M,12
29,1,9,8,H,13
29,2,9,7,M,12
30,1,3,7,M,13
30,2,5,7,M,12
31,1,4,2,H,12
31,2,6,5,H,11
32,1,5,5,M,12
32,2,6,6,H,10
33,1,8,0,M,12
33,2,7,6,H,9
34,1,4,8,H,11
34,2,7,5,H,8
35,1,4,1,M,11
35,2,5,5,M,8
36,1,7,6,M,11
36,2,6,4,H,7
37,1,6,4,M,11
37,2,7,4,M,7
38,1,3,2,H,10
38,2,8,6,M,7
39,1,2,0,M,10
39,2,6,7,H,6
40,1,2,4,M,10
40,2,5,6,M,6
41,1,1,1,M,10
41,2,8,5,M,6
42,1,8,4,M,10
42,2,6,3,H,5
43,1,6,3,M,10
43,2,6,8,M,5
44,1,0,7,M,10
44,2,7,3,H,4
45,1,7,1,M,10
45,2,6,2,M,4
46,1,7,7,M,10
46,2,7,7,H,3
47,1,6,5,M,10
47,2,7,2,H,2
48,1,6,0,M,10
48,2,8,3,M,2
49,1,0,8,H,9
49,2,8,2,M,2
50,1,8,9,M,9
50,2,8,7,M,2
51,1,0,0,M,9
51,2,7,1,H,1
52,1,0,9,M,9
52,2,7,0,M,1
53,1,5,6,M,9
53,2,6,1,M,1
54,1,6,9,M,9
54,2,7,8,H,0
55,1,2,6,M,9
55,2,7,9,M,0
56,1,5,2,M,9
56,2,8,8,M,0
57,1,5,4,M,9
57,2,8,1,M,0
58,1,3,8,H,8
58,2,3,0,M,0
59,1,2,9,M,8
59,2,9,9,M,0
60,1,5,3,M,8
60,2,9,2,M,0
61,1,4,4,H,7
61,2,1,9,M,0
62,1,7,8,H,6
62,2,2,2,M,0
63,1,3,4,M,6
63,2,6,9,M,0
64,1,3,5,M,6
64,2,8,4,M,0
65,1,1,0,M,6
65,2,9,6,M,0
66,1,2,1,M,6
66,2,4,3,M,0
67,1,5,8,M,6
67,2,3,1,M,0
68,1,1,8,H,5
68,2,4,4,M,0
69,1,8,8,H,4
69,2,5,1,M,0
70,1,9,3,M,4
70,2,4,0,M,0
71,1,7,4,M,4
71,2,1,0,M,0
72,1,1,7,H,3
72,2,0,8,M,0
73,1,6,2,M,3
73,2,6,0,M,0
74,1,2,8,H,2
74,2,9,1,M,0
75,1,2,5,M,2
75,2,1,1,M,0
76,1,9,9,M,2
76,2,8,0,M,0
77,1,0,4,M,2
77,2,0,4,M,0
78,1,9,1,M,2
78,2,2,4,M,0
79,1,3,3,M,2
79,2,5,2,M,0
80,1,5,1,M,2
80,2,0,2,M,0
81,1,5,9,M,2
81,2,4,2,M,0
82,1,1,4,H,1
82,2,0,7,M,0
83,1,9,6,M,1
83,2,2,1,M,0
84,1,4,7,M,1
84,2,1,3,M,0
85,1,0,5,M,1
85,2,2,3,M,0
86,1,9,4,M,1
86,2,3,4,M,0
87,1,9,2,M,1
87,2,3,3,M,0
88,1,8,6,M,1
88,2,4,9,M,0
89,1,6,7,M,1
89,2,8,9,M,0
90,1,6,8,M,1
90,2,5,9,M,0
91,1,9,0,M,1
91,2,1,8,M,0
92,1,6,1,M,1
92,2,0,0,M,0
93,1,7,5,M,1
93,2,0,3,M,0
94,1,4,3,H,0
94,2,4,5,M,0
