Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,3,M,17
1,2,9,4,M,17
2,1,6,5,M,17
2,2,4,0,M,17
3,1,3,0,M,17
3,2,4,1,M,17
4,1,0,7,M,17
4,2,5,3,H,16
5,1,5,6,M,17
5,2,6,3,M,16
6,1,3,8,H,16
6,2,5,2,H,15
7,1,2,6,H,15
7,2,6,2,M,15
8,1,2,9,M,15
8,2,4,2,M,15
9,1,7,0,H,14
9,2,4,3,M,15
10,1,1,1,M,14
10,2,5,1,M,15
11,1,1,7,M,14
11,2,5,4,M,15
12,1,7,9,M,14
12,2,6,5,M,15
13,1,7,1,M,14
13,2,0,1,M,15
14,1,4,7,M,14
14,2,3,7,H,14
15,1,6,4,M,14
15,2,4,7,H,13
16,1,8,0,H,13
16,2,2,7,H,12
17,1,9,7,M,13
17,2,2,8,M,12
18,1,2,7,M,13
18,2,3,6,H,11
19,1,6,0,H,12
19,2,4,8,M,11
20,1,9,8,M,12
20,2,5,7,H,10
21,1,4,1,M,12
21,2,1,7,M,10
22,1,5,4,M,12
22,2,2,6,H,9
23,1,1,6,H,11
23,2,1,6,H,8
24,1,3,7,M,11
24,2,0,6,H,7
25,1,9,2,M,11
25,2,0,7,M,7
26,1,4,4,H,10
26,2,2,5,M,7
27,1,2,1,M,10
27,2,5,6,M,7
28,1,2,5,M,10
28,2,1,5,M,7
29,1,8,9,M,10
29,2,5,8,M,7
30,1,7,5,M,10
30,2,0,5,M,7
31,1,6,6,M,10
31,2,4,6,M,7
32,1,8,5,M,10
32,2,6,7,H,6
33,1,6,7,M,10
33,2,6,6,M,6
34,1,3,5,M,10
34,2,3,5,M,6
35,1,4,8,H,9
35,2,6,8,M,6
36,1,8,7,M,9
36,2,3,8,M,6
37,1,5,8,H,8
37,2,7,7,M,6
38,1,9,1,M,8
38,2,8,4,M,6
39,1,9,5,M,8
39,2,0,3,M,6
40,1,1,5,M,8
40,2,4,9,M,6
41,1,2,2,M,8
41,2,5,9,M,6
42,1,3,1,M,8
42,2,9,6,M,6
43,1,5,0,M,8
43,2,9,0,M,6
44,1,7,8,M,8
44,2,1,8,M,6
45,1,4,9,M,8
45,2,0,0,M,6
46,1,6,3,H,7
46,2,2,9,M,6
47,1,6,9,M,7
47,2,3,9,M,6
48,1,8,3,M,7
48,2,5,5,M,6
49,1,2,3,M,7
49,2,7,1,M,6
50,1,3,3,M,7
50,2,2,3,M,6
51,1,9,0,H,6
51,2,7,5,M,6
52,1,3,2,M,6
52,2,2,0,M,6
53,1,6,2,M,6
53,2,2,4,M,6
54,1,2,8,H,5
54,2,9,7,M,6
55,1,5,5,M,5
55,2,3,3,M,6
56,1,3,4,M,5
56,2,2,1,M,6
57,1,2,4,M,5
57,2,7,8,M,6
58,1,4,0,M,5
58,2,3,2,M,6
59,1,1,2,M,5
59,2,7,3,M,6
60,1,5,1,M,5
60,2,0,2,M,6
61,1,0,2,M,5
61,2,6,4,M,6
62,1,7,6,M,5
62,2,2,2,M,6
63,1,1,9,M,5
63,2,1,4,M,6
64,1,4,2,M,5
64,2,0,9,M,6
65,1,6,8,M,5
65,2,9,3,M,6
66,1,8,4,M,5
66,2,9,9,M,6
67,1,1,4,M,5
67,2,9,5,M,6
68,1,8,8,M,5
68,2,7,2,M,6
69,1,5,7,M,5
69,2,6,0,M,6
70,1,7,3,H,4
70,2,8,7,H,5
71,1,8,6,M,4
71,2,8,8,M,5
72,1,4,3,H,3
72,2,8,6,H,4
73,1,0,1,M,3
73,2,8,5,H,3
74,1,4,6,M,3
74,2,7,6,M,3
75,1,4,5,H,2
75,2,8,0,M,3
76,1,0,6,M,2
76,2,1,0,M,3
77,1,0,4,M,2
77,2,8,3,M,3
78,1,7,7,M,2
78,2,9,1,M,3
79,1,1,8,H,1
79,2,7,0,M,3
80,1,7,2,M,1
80,2,6,9,M,3
81,1,0,8,M,1
81,2,9,2,M,3
82,1,0,3,M,1
82,2,4,4,M,3
83,1,1,3,M,1
83,2,9,8,M,3
84,1,0,5,M,1
84,2,3,4,M,3
85,1,8,2,M,1
85,2,1,1,H,2
86,1,1,0,M,1
86,2,1,2,H,1
87,1,3,9,M,1
87,2,1,3,H,0
88,1,2,0,M,1
88,2,8,9,M,0
89,1,6,1,M,1
89,2,3,1,M,0
90,1,3,6,H,0
90,2,5,0,M,0
